Name	AeMean	AeRank	In	InRank	Extent
mh13KK‐218	6.010	1	0.367	20	146
mh05KK‐170	5.244	2	0.374	19	137
mh10KK‐169	4.656	3	0.354	21	292
mh21KK‐320	4.605	4	0.217	77	186
mh10KK‐163	4.494	5	0.335	25	260
mh02KK‐134	4.445	6	0.389	14	104
mh16KK‐049	4.206	7	0.314	33	174
mh11KK‐180	3.982	8	0.268	50	194
mh21KK‐315	3.972	9	0.187	105	146
mh13KK‐217	3.960	10	0.245	62	193
mh04KK‐030	3.955	11	0.335	26	115
mh08KK‐039	3.937	12	0.454	7	213
mh01KK‐117	3.889	13	0.293	40	187
mh21KK‐324	3.857	14	0.382	17	159
mh19KK‐299	3.834	15	0.318	29	154
mh06KK‐008‐ALT	3.808	16	0.255	54	170
mh13KK‐223	3.793	17	0.218	76	154
mh01KK‐205	3.777	18	0.136	137	155
mh02KK‐136	3.746	19	0.188	102	71
mh04KK‐013	3.671	20	0.277	48	201
mh13KK‐213	3.645	21	0.209	87	141
mh13KK‐225	3.466	22	0.196	97	97
mh18KK‐293	3.402	23	0.307	36	83
mh20KK‐307	3.401	24	0.215	81	141
mh09KK‐157	3.361	25	0.251	59	154
mh16KK‐255‐ALT	3.361	26	0.209	85	143
mh02KK‐138	3.338	27	0.462	6	249
mh22KK‐061	3.320	28	0.169	114	147
mh05KK‐020	3.255	29	0.198	96	169
mh03KK‐150	3.194	30	0.177	108	185
mh01NK‐001	3.026	31	0.268	51	280
mh11KK‐191	3.017	32	0.228	72	190
mh01KK‐001	3.013	33	0.384	16	260
mh09KK‐153	2.980	34	0.374	18	113
mh12KK‐202	2.979	35	0.154	126	154
mh16KK‐302	2.949	36	0.312	35	114
mh21KK‐316	2.949	37	0.318	30	135
mh09KK‐152	2.938	38	0.204	89	142
mh11KK‐092	2.937	39	0.153	128	296
mh21KK‐313	2.899	40	0.284	45	173
mh17KK‐272	2.892	41	0.184	106	131
mh12KK‐046	2.867	42	0.159	122	72
mh10KK‐170	2.864	43	0.338	24	190
mh09KK‐033	2.814	44	0.166	117	78
mh15KK‐066	2.765	45	0.201	93	75
mh04KK‐010	2.746	46	0.174	110	35
mh14KK‐048	2.716	47	0.202	90	159
mh15KK‐067	2.711	48	0.252	58	122
mh20KK‐058	2.702	49	0.169	113	106
mh01KK‐172	2.683	50	0.300	39	226
