ID1KGP	ALFRED	Name
CHB	SA004058R	Han Chinese in Beijing, China
JPT	SA004060K	Japanese in Tokyo, Japan
CHS	SA004059S	Southern Han Chinese
CDX	SA004238R	Chinese Dai in Xishuangbanna, China
KHV	SA004249T	Kinh in Ho Chi Minh City, Vietnam
CEU	SA004250L	Utah Residents (CEPH) with Northern and Western European Ancestry
TSI	SA004057Q	Toscani in Italia
FIN	SA004049R	Finnish in Finland
GBR	SA004050J	British in England and Scotland
IBS	SA004108N	Iberian Population in Spain
YRI	SA004048Q	Yoruba in Ibadan, Nigeria
LWK	SA004046O	Luhya in Webuye, Kenya
GWD	SA004243N	Gambian in Western Divisions in the Gambia
MSL	SA004244O	Mende in Sierra Leone
ESN	SA004248S	Esan in Nigeria
ASW	SA004047P	Americans of African Ancestry in SW USA
ACB	SA004242M	African Caribbeans in Barbados
MXL	SA004110G	Mexican Ancestry from Los Angeles USA
PUR	SA004111H	Puerto Ricans from Puerto Rico
CLM	SA004109O	Colombians from Medellin, Colombia
PEL	SA004245P	Peruvians from Lima, Peru
GIH	SA004246Q	Gujarati Indian from Houston, Texas
PJL	SA004240K	Punjabi from Lahore, Pakistan
BEB	SA004239S	Bengali from Bangladesh
STU	SA004241L	Sri Lankan Tamil from the UK
ITU	SA004247R	Indian Telugu from the UK
