Name	In	RankIn	AvgAe	RankAvgAe	Length
mh03LV-07	1.081	1	14.0275	7	198
mh09LV-02	0.9683	2	28.004	2	343
mh20LV-04	0.9019	3	24.2601	4	350
mh03LV-01	0.8894	4	33.919	1	321
mh10LV-03	0.8834	5	25.1567	3	325
mh03LV-06	0.8625	6	20.3159	6	198
mh02LV-05	0.8416	7	20.7826	5	325
mh06LV-09	0.6829	8	10.4354	9	193
mh17KK-014	0.6423	9	2.0215	356	37
mh02LV-08	0.6344	10	13.9066	8	190
mh20KK-016	0.6041	11	2.6174	253	259
mh06KK-008	0.5364	12	4.8459	18	220
mh13LV-10	0.532	13	9.6136	10	194
mh05KK-120	0.4857	14	2.053	347	276
mh02KK-139	0.4396	15	1.6759	391	54
mh09KK-161	0.4381	16	1.8583	377	104
mh16KK-053	0.438	17	1.4044	403	12
mh11PK-62906	0.4029	18	2.5711	263	57
mh08KK-039	0.3955	19	4.1595	32	213
mh15KK-058	0.3799	20	2.211	328	303
mh01USC-1pD	0.3706	21	3.1574	132	35
mh02USC-2pA	0.3702	22	2.7695	228	79
mh14KK-101	0.3666	23	1.7532	387	96
mh05KK-121	0.3663	24	2.5124	273	281
mh16KK-062	0.3633	25	2.3563	304	298
mh05KK-170	0.3436	26	5.8163	13	137
mh09KK-020	0.3285	27	2.6851	241	128
mh03USC-3qC	0.328	28	6.0269	12	97
mh21KK-324	0.3071	29	4.5506	20	159
mh02KK-003	0.3022	30	2.1057	345	125
mh09USC-9pA	0.2989	31	4.4514	24	72
mh04USC-4qB	0.297	32	2.5527	264	27
mh05KK-124	0.2949	33	2.2659	321	67
mh04USC-4qD	0.2934	34	3.415	88	51
mh22USC-22qB	0.2916	35	4.3459	29	53
mh15KK-068	0.2901	36	1.8539	379	217
mh0XUSC-XqF	0.2895	37	1.8426	380	76
mh01KK-001	0.286	38	3.1421	135	260
mh12USC-12qB	0.2835	39	4.0409	43	78
mh10KK-169	0.2829	40	5.765	14	292
mh15KK-104	0.2823	41	2.3577	303	138
mh15USC-15qD	0.2805	42	2.8421	213	51
mh09KK-153	0.2798	43	3.2675	116	113
mh05USC-5qB	0.2787	44	3.2945	106	42
mh02KK-134	0.2759	45	5.206	15	104
mh05KK-122	0.2722	46	1.9948	362	50
mh13KK-218	0.2687	47	7.2252	11	146
mh03USC-3pB	0.2681	48	3.4686	81	67
mh19KK-301	0.2673	49	1.9707	363	64
mh01KK-002	0.2672	50	2.6696	246	18
