ID	Name	Source
SA000017I	Adygei	ALFRED
MHDBP-3dab7bdd14	Africa	10.1016/j.fsigen.2018.05.008
SA000101C	African Americans	ALFRED
ACB	African Caribbeans in Barbados	1KGP
ASW	Americans of African Ancestry in SW USA	1KGP
SA000002C	Ami	ALFRED
MHDBP-936bc36f79	Asia	10.1016/j.fsigen.2018.05.008
SA000021D	Atayal	ALFRED
BEB	Bengali from Bangladesh	1KGP
SA000005F	Biaka	ALFRED
GBR	British in England and Scotland	1KGP
SA000022E	Cambodians, Khmer	ALFRED
SA000487T	Chagga	ALFRED
SA000023F	Cheyenne	ALFRED
CDX	Chinese Dai in Xishuangbanna, China	1KGP
SA000491O	Chuvash	ALFRED
CLM	Colombians from Medellin, Colombia	1KGP
SA004333N	Cypriot, Turkish	ALFRED
SA000007H	Danes	ALFRED
SA000047L	Druze	ALFRED
ESN	Esan in Nigeria	1KGP
SA000020C	Europeans, Mixed	ALFRED
FIN	Finnish in Finland	1KGP
SA000018J	Finns	ALFRED
GWD	Gambian in Western Divisions in the Gambia	1KGP
SA002767W	Greeks	ALFRED
SA000055K	Guihiba	ALFRED
GIH	Gujarati Indian from Houston, Texas	1KGP
SA000003D	Hakka	ALFRED
MHDBP-48c2cfb2aa	Han	10.1016/j.fsigen.2019.02.018
SA000001B	Han	ALFRED
SA000009J	Han	ALFRED
CHB	Han Chinese in Beijing, China	1KGP
SA000100B	Hausa	ALFRED
SA002140H	Hazara	ALFRED
SA002023H	Hungarian	ALFRED
IBS	Iberian Population in Spain	1KGP
SA000099S	Ibo	ALFRED
ITU	Indian Telugu from the UK	1KGP
SA004309Q	Iranian	ALFRED
SA000057M	Irish	ALFRED
MHDBP-63967b883e	Japanese	10.1016/j.legalmed.2015.06.003
SA000010B	Japanese	ALFRED
JPT	Japanese in Tokyo, Japan	1KGP
SA000490N	Jews, Ashkenazi	ALFRED
SA000015G	Jews, Ethiopian	ALFRED
SA000096P	Jews, Sephardic	ALFRED
SA000016H	Jews, Yemenite	ALFRED
SA000040E	Kachari	ALFRED
SA000028K	Karitiana	ALFRED
SA001854S	Keralite	ALFRED
SA000488U	Khanty	ALFRED
KHV	Kinh in Ho Chi Minh City, Vietnam	1KGP
SA000489V	Komi-Zyrian	ALFRED
SA000936S	Koreans	ALFRED
SA002765U	Kuwaiti	ALFRED
SA001853R	Lao Loum	ALFRED
SA002770Q	Lisongo	ALFRED
LWK	Luhya in Webuye, Kenya	1KGP
SA000097Q	Malaysians	ALFRED
SA000854R	Masai	ALFRED
SA000013E	Maya, Yucatan	ALFRED
SA000006G	Mbuti	ALFRED
SA000012D	Melanesian, Nasioi	ALFRED
MSL	Mende in Sierra Leone	1KGP
MXL	Mexican Ancestry from Los Angeles USA	1KGP
SA000063J	Micronesians	ALFRED
SA002139P	Mohanna	ALFRED
SA004035M	Mongolian	ALFRED
MHDBP-383d86606a	NL	10.1016/j.fsigen.2018.05.008
SA002137N	Negroid Makrani	ALFRED
SA002766V	Palestinian	ALFRED
SA000084M	Papuan New Guinean	ALFRED
SA002873U	Pashtun	ALFRED
PEL	Peruvians from Lima, Peru	1KGP
SA000025H	Pima, Arizona	ALFRED
SA000026I	Pima, Mexico	ALFRED
PUR	Puerto Ricans from Puerto Rico	1KGP
PJL	Punjabi from Lahore, Pakistan	1KGP
SA000069P	Quechua	ALFRED
SA000019K	Russians	ALFRED
SA001530J	Russians	ALFRED
SA000098R	Samaritans	ALFRED
SA000072J	Samoans	ALFRED
SA001773S	Sandawe	ALFRED
SA002768X	Sardinian	ALFRED
SA004393T	Saudi	ALFRED
SA002138O	Somali	ALFRED
CHS	Southern Han Chinese	1KGP
STU	Sri Lankan Tamil from the UK	1KGP
SA000014F	Surui	ALFRED
MHDBP-7c055e7ee8	Swedish	ISFG2019:P597
SA000077O	Thoti	ALFRED
SA000027J	Ticuna	ALFRED
TSI	Toscani in Italia	1KGP
SA004036N	Tsaatan	ALFRED
SA004310I	Turks	ALFRED
CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	1KGP
SA000011C	Yakut	ALFRED
SA000036J	Yoruba	ALFRED
YRI	Yoruba in Ibadan, Nigeria	1KGP
SA002586V	Zaramo	ALFRED
