Marker	Informativeness
mh01AT-02	0.0338
mh01AT-03	0.1143
mh01AT-04	0.1005
mh01CP-007	0.0412
mh01CP-008	0.1220
mh01CP-010	0.0736
mh01CP-012	0.1755
mh01CP-016	0.0813
mh01KK-001	0.2860
mh01KK-002	0.2672
mh01KK-070	0.1409
mh01KK-072	0.0251
mh01KK-106	0.1962
mh01KK-117	0.1933
mh01KK-135	0.2448
mh01KK-172	0.2160
mh01KK-205	0.0717
mh01KK-210	0.1530
mh01KK-211	0.1706
mh01KKCS-212	0.6393
mh01NH-01	0.0757
mh01NH-02	0.0997
mh01NH-03	0.1987
mh01NH-04	0.1005
mh01NK-001	0.1511
mh01NKCS-001	0.1511
mh01SHY-001	0.1404
mh01USC-1pA	0.2029
mh01USC-1pB	0.1431
mh01USC-1pC	0.1752
mh01USC-1pD	0.3706
mh01USC-1qA	0.0976
mh01USC-1qB	0.1589
mh01USC-1qC	0.0957
mh01USC-1qD	0.1907
mh01ZBF-001	0.3282
mh01ZBF-002	0.1097
mh01ZHA-009	0.0496
mh01ZHA-011	0.1647
mh01ZHA-012	0.1467
mh02AT-05	0.2000
mh02AT-07	0.1190
mh02CP-004	0.0845
mh02KK-003	0.3022
mh02KK-004	0.2279
mh02KK-005	0.0818
mh02KK-073	0.0816
mh02KK-102	0.1496
mh02KK-105	0.2043
mh02KK-131	0.2660
mh02KK-134	0.2759
mh02KK-136	0.1190
mh02KK-138	0.2654
mh02KK-139	0.4396
mh02KK-201	0.2064
mh02KK-202	0.0589
mh02KK-213	0.1416
mh02KK-215	0.1253
mh02KKCS-013	0.2298
mh02KKCS-022	0.3415
mh02KKCS-136	0.1753
mh02LV-05	0.8416
mh02LV-08	0.6344
mh02NH-05	0.0245
mh02NH-06	0.0102
mh02SHY-001	0.3441
mh02SHY-002	0.1087
mh02SHY-003	0.1728
mh02SHY-004	0.3228
mh02USC-2pA	0.3702
mh02USC-2pB	0.1080
mh02USC-2pC	0.0620
mh02USC-2qA	0.1309
mh02USC-2qB	0.1272
mh02USC-2qC	0.0929
mh02USC-2qD	0.0914
mh02USC-2qE	0.1407
mh02ZBF-001	0.1265
mh02ZBF-002	0.1045
mh02ZHA-001	0.1528
mh02ZHA-003	0.1995
mh02ZHA-008	0.0954
mh02ZHA-012	0.1269
mh02ZHA-013	0.1958
mh03AT-08	0.1009
mh03AT-09	0.0310
mh03CP-005	0.1859
mh03KK-006	0.0998
mh03KK-007	0.1009
mh03KK-008	0.1722
mh03KK-009	0.1104
mh03KK-020	0.2349
mh03KK-150	0.0752
mh03KK-216	0.2551
mh03KKCS-016	0.1622
mh03KKCS-150	0.0752
mh03LV-01	0.8894
mh03LV-06	0.8625
mh03LV-07	1.0810
mh03NH-07	0.0475
mh03SHY-001	0.3537
mh03SHY-002	0.2234
mh03SHY-003	0.1916
mh03SHY-004	0.2189
mh03SHY-005	0.3014
mh03USC-3pA	0.2150
mh03USC-3pB	0.2681
mh03USC-3pC	0.1359
mh03USC-3qA	0.1867
mh03USC-3qB	0.2457
mh03USC-3qC	0.3280
mh03ZBF-001	0.0697
mh03ZBF-002	0.0585
mh03ZHA-001	0.1659
mh03ZHA-009	0.2561
mh04AT-10	0.1306
mh04AT-12	0.1047
mh04CP-002	0.0627
mh04CP-003	0.1668
mh04CP-004	0.0477
mh04CP-005	0.1464
mh04CP-007	0.0554
mh04KK-010	0.1306
mh04KK-011	0.1227
mh04KK-013	0.1700
mh04KK-015	0.1043
mh04KK-016	0.1054
mh04KK-017	0.1407
mh04KK-019	0.1320
mh04KK-021	0.0972
mh04KK-028	0.1013
mh04KK-029	0.0572
mh04KK-030	0.2406
mh04KK-074	0.1886
mh04KKCS-010	0.1410
mh04SHY-001	0.2658
mh04SHY-002	0.1780
mh04SHY-003	0.1751
mh04SHY-004	0.1426
mh04USC-4pA	0.1338
mh04USC-4pB	0.0758
mh04USC-4qA	0.0856
mh04USC-4qB	0.2970
mh04USC-4qC	0.1068
mh04USC-4qD	0.2934
mh04ZBF-001	0.0865
mh04ZHA-001	0.1650
mh04ZHA-002	0.1126
mh04ZHA-004	0.2494
mh04ZHA-007	0.2913
mh05AT-13	0.1421
mh05AT-14	0.0964
mh05CP-004	0.1026
mh05CP-006	0.1420
mh05CP-010	0.0803
mh05KK-020	0.1050
mh05KK-022	0.0964
mh05KK-023	0.0879
mh05KK-062	0.1275
mh05KK-078	0.0287
mh05KK-079	0.1116
mh05KK-120	0.4857
mh05KK-121	0.3663
mh05KK-122	0.2722
mh05KK-123	0.1598
mh05KK-124	0.2949
mh05KK-170	0.3436
mh05KKCS-020	0.1261
mh05KKCS-169	0.2497
mh05NH-09	0.0103
mh05NH-10	0.0594
mh05SHY-001	0.2404
mh05SHY-002	0.2326
mh05SHY-003	0.1682
mh05USC-5pA	0.1754
mh05USC-5pB	0.0914
mh05USC-5qA	0.1560
mh05USC-5qB	0.2787
mh05USC-5qC	0.0856
mh05USC-5qD	0.0497
mh05ZBF-001	0.0285
mh05ZHA-002	0.1238
mh05ZHA-004	0.1353
mh05ZHA-005	0.1477
mh06CP-003	0.1310
mh06CP-007	0.0935
mh06KK-008	0.5364
mh06KK-025	0.1692
mh06KK-026	0.1393
mh06KK-030	0.1524
mh06KK-031	0.2238
mh06KK-080	0.0780
mh06KK-101	0.2296
mh06KKCS-090	0.2044
mh06KKCS-104	0.2728
mh06LV-09	0.6829
mh06NH-11	0.0907
mh06PK-25713	0.0898
mh06SHY-001	0.2466
mh06SHY-002	0.1460
mh06SHY-003	0.1772
mh06SHY-004	0.1714
mh06SHY-005	0.3830
mh06USC-6pA	0.0444
mh06USC-6pB	0.1165
mh06USC-6qA	0.1176
mh06USC-6qB	0.1586
mh06USC-6qC	0.1333
mh06USC-6qD	0.1155
mh06ZBF-001	0.1418
mh07CP-004	0.1502
mh07KK-030	0.0511
mh07KK-031	0.0633
mh07KK-081	0.0656
mh07KK-082	0.0445
mh07NH-12	0.0235
mh07PK-38311	0.1000
mh07SHY-001	0.2474
mh07SHY-002	0.1213
mh07USC-7pA	0.0965
mh07USC-7pB	0.1746
mh07USC-7pC	0.2392
mh07USC-7qA	0.0657
mh07USC-7qB	0.1291
mh07USC-7qC	0.2237
mh07ZBF-001	0.1177
mh07ZHA-003	0.2082
mh07ZHA-004	0.0740
mh07ZHA-009	0.2337
mh08CP-009	0.2064
mh08KK-032	0.1401
mh08KK-039	0.3955
mh08PK-46625	0.1132
mh08SHY-001	0.1981
mh08SHY-002	0.2092
mh08SHY-003	0.2396
mh08SHY-004	0.1364
mh08SHY-005	0.2340
mh08SHY-006	0.3028
mh08SHY-007	0.1855
mh08USC-8pA	0.2051
mh08USC-8pB	0.2065
mh08USC-8qA	0.1924
mh08USC-8qB	0.1334
mh08USC-8qC	0.2156
mh08ZBF-001	0.0729
mh08ZBF-002	0.0785
mh08ZHA-003	0.1881
mh08ZHA-008	0.1592
mh08ZHA-009	0.0949
mh08ZHA-010	0.2088
mh08ZHA-011	0.0957
mh09AT-15	0.1160
mh09AT-16	0.1586
mh09AT-17	0.1250
mh09AT-18	0.0513
mh09KK-020	0.3285
mh09KK-033	0.1008
mh09KK-034	0.1677
mh09KK-035	0.0239
mh09KK-152	0.1630
mh09KK-153	0.2798
mh09KK-157	0.2163
mh09KK-161	0.4381
mh09KKCS-145	0.2887
mh09LV-02	0.9683
mh09NH-13	0.0990
mh09SHY-001	0.2165
mh09SHY-002	0.2621
mh09SHY-003	0.1506
mh09SHY-004	0.1551
mh09USC-9pA	0.2989
mh09USC-9pB	0.1616
mh09USC-9qA	0.1236
mh09USC-9qB	0.2080
mh09USC-9qC	0.1857
mh09ZBF-001	0.1743
mh09ZHA-004	0.1742
mh09ZHA-008	0.0812
mh0XUSC-XpA	0.2170
mh0XUSC-XpB	0.1952
mh0XUSC-XpC	0.1328
mh0XUSC-XqA	0.1627
mh0XUSC-XqB	0.2666
mh0XUSC-XqC	0.1110
mh0XUSC-XqE	0.1242
mh0XUSC-XqF	0.2895
mh0XUSC-XqG	0.1976
mh0XUSC-XqH	0.2613
mh10AT-19	0.1168
mh10CP-003	0.1915
mh10CP-005	0.1018
mh10CP-006	0.2584
mh10KK-083	0.0435
mh10KK-084	0.0739
mh10KK-085	0.1098
mh10KK-086	0.1410
mh10KK-087	0.0201
mh10KK-088	0.1163
mh10KK-101	0.1047
mh10KK-163	0.2302
mh10KK-169	0.2829
mh10KK-170	0.2465
mh10LV-03	0.8834
mh10NH-14	0.1461
mh10NH-15	0.0765
mh10NH-16	0.0321
mh10PK-62104	0.0482
mh10SHY-001	0.1338
mh10SHY-002	0.2807
mh10SHY-003	0.2228
mh10USC-10pA	0.0761
mh10USC-10pB	0.2438
mh10USC-10qA	0.1392
mh10USC-10qB	0.1512
mh10USC-10qC	0.1128
mh10ZBF-001	0.1902
mh10ZHA-002	0.0900
mh11AT-20	0.1930
mh11AT-21	0.0563
mh11AT-22	0.0922
mh11AT-23	0.1810
mh11CP-003	0.0460
mh11CP-004	0.0706
mh11CP-005	0.1411
mh11KK-036	0.0563
mh11KK-037	0.1492
mh11KK-038	0.0988
mh11KK-039	0.0982
mh11KK-040	0.1810
mh11KK-041	0.1212
mh11KK-089	0.0770
mh11KK-090	0.0751
mh11KK-091	0.1445
mh11KK-092	0.1017
mh11KK-103	0.2370
mh11KK-180	0.2604
mh11KK-187	0.2458
mh11KK-191	0.1755
mh11KKCS-180	0.5452
mh11KKCS-190	0.2541
mh11NH-17	0.2077
mh11NH-18	0.0590
mh11NH-19	0.1614
mh11PK-62906	0.4029
mh11SHY-001	0.1224
mh11USC-11pA	0.1247
mh11USC-11pB	0.1404
mh11USC-11qA	0.0998
mh11USC-11qB	0.1335
mh11USC-11qC	0.0940
mh11ZBF-001	0.0755
mh11ZHA-006a	0.1818
mh12AT-24	0.0748
mh12AT-25	0.1358
mh12CP-003	0.0773
mh12CP-007	0.0898
mh12CP-008	0.0918
mh12KK-042	0.2313
mh12KK-043	0.1136
mh12KK-045	0.2104
mh12KK-046	0.1358
mh12KK-092	0.0471
mh12KK-093	0.1833
mh12KK-202	0.0962
mh12KKCS-199	0.0940
mh12KKCS-201	0.6415
mh12KKCS-202	0.0968
mh12KKCS-209	0.1889
mh12NH-20	0.0178
mh12SHY-001	0.3799
mh12USC-12pA	0.2100
mh12USC-12pB	0.1099
mh12USC-12qA	0.0532
mh12USC-12qB	0.2835
mh12USC-12qC	0.2453
mh12ZHA-008	0.1036
mh13AT-26	0.1635
mh13AT-27	0.0614
mh13AT-30	0.0628
mh13CP-008	0.1661
mh13CP-010	0.0775
mh13KK-047	0.1949
mh13KK-213	0.1518
mh13KK-217	0.1662
mh13KK-218	0.2687
mh13KK-223	0.1173
mh13KK-225	0.1181
mh13KK-226	0.2116
mh13KKCS-217	0.3075
mh13KKCS-225	0.1678
mh13LV-10	0.5320
mh13SHY-001	0.2400
mh13SHY-002	0.1493
mh13SHY-003	0.2704
mh13USC-13qA	0.1615
mh13USC-13qB	0.1532
mh13USC-13qC	0.1236
mh13USC-13qD	0.1535
mh13ZBF-001	0.1085
mh13ZHA-002	0.2708
mh14CP-003	0.1494
mh14CP-004	0.1056
mh14KK-048	0.1681
mh14KK-068	0.1268
mh14KK-101	0.3666
mh14KKCS-048	0.2623
mh14NH-21	0.0802
mh14NH-22	0.0976
mh14PK-72639	0.2055
mh14SHY-001	0.1483
mh14SHY-002	0.2846
mh14SHY-003	0.3970
mh14USC-14qA	0.1078
mh14USC-14qB	0.1043
mh14USC-14qC	0.1645
mh14USC-14qD	0.2005
mh14ZHA-003	0.1457
mh14ZHA-006	0.1520
mh15AT-31	0.2110
mh15AT-32	0.1340
mh15CP-001	0.0683
mh15CP-003	0.1915
mh15CP-004	0.2382
mh15KK-058	0.3799
mh15KK-066	0.1340
mh15KK-067	0.1986
mh15KK-068	0.2901
mh15KK-069	0.2302
mh15KK-095	0.1947
mh15KK-104	0.2823
mh15KKCS-066	0.1940
mh15SHY-001	0.1795
mh15SHY-002	0.1499
mh15SHY-003	0.2514
mh15SHY-004	0.2589
mh15USC-15qA	0.1564
mh15USC-15qB	0.1972
mh15USC-15qC	0.2069
mh15USC-15qD	0.2805
mh15ZBF-001	0.1594
mh16AT-33	0.1240
mh16AT-34	0.1712
mh16CP-001	0.1054
mh16KK-049	0.1576
mh16KK-053	0.4380
mh16KK-061	0.2182
mh16KK-062	0.3633
mh16KK-096	0.2152
mh16KK-255	0.1733
mh16KK-302	0.2461
mh16KKCS-011	0.2915
mh16KKCS-302	0.2964
mh16PK-83362	0.1388
mh16PK-83483	0.2089
mh16PK-83544	0.1018
mh16SHY-001	0.2123
mh16SHY-002	0.2224
mh16SHY-003	0.1623
mh16USC-16pA	0.1981
mh16USC-16pB	0.0751
mh16USC-16qA	0.1408
mh16USC-16qB	0.1025
mh16ZBF-001	0.1115
mh16ZHA-003	0.2387
mh16ZHA-004	0.1881
mh16ZHA-006	0.1324
mh16ZHA-009	0.1712
mh17AT-35	0.0523
mh17AT-36	0.0493
mh17CP-001	0.0681
mh17CP-002	0.1619
mh17CP-005	0.1033
mh17CP-006	0.0582
mh17KK-014	0.6423
mh17KK-052	0.0848
mh17KK-053	0.0603
mh17KK-054	0.0523
mh17KK-055	0.0293
mh17KK-076	0.0651
mh17KK-077	0.0982
mh17KK-105	0.0700
mh17KK-110	0.0634
mh17KK-272	0.1099
mh17KKCS-278	0.3255
mh17USC-17pA	0.2630
mh17USC-17qA	0.0604
mh17USC-17qB	0.1422
mh17USC-17qC	0.0956
mh17ZBF-001	0.1727
mh17ZHA-001	0.1033
mh18AT-38	0.1419
mh18AT-39	0.2495
mh18CP-003	0.1061
mh18CP-005	0.0904
mh18KK-285	0.1721
mh18KK-293	0.2495
mh18PK-87558	0.1325
mh18SHY-001	0.2426
mh18SHY-002	0.2109
mh18USC-18pA	0.2130
mh18USC-18qA	0.0847
mh18USC-18qB	0.1449
mh18USC-18qC	0.1436
mh18ZBF-001	0.1796
mh18ZBF-002	0.2019
mh18ZHA-004	0.1949
mh18ZHA-005	0.1162
mh19AT-47	0.1298
mh19CP-007	0.0466
