ID	Name	Xref
CHB	Han Chinese in Beijing, China	SA004058R
JPT	Japanese in Tokyo, Japan	SA004060K
CHS	Southern Han Chinese	SA004059S
CDX	Chinese Dai in Xishuangbanna, China	SA004238R
KHV	Kinh in Ho Chi Minh City, Vietnam	SA004249T
CEU	Utah Residents (CEPH) with Northern and Western European Ancestry	SA004250L
TSI	Toscani in Italia	SA004057Q
FIN	Finnish in Finland	SA004049R
GBR	British in England and Scotland	SA004050J
IBS	Iberian Population in Spain	SA004108N
YRI	Yoruba in Ibadan, Nigeria	SA004048Q
LWK	Luhya in Webuye, Kenya	SA004046O
GWD	Gambian in Western Divisions in the Gambia	SA004243N
MSL	Mende in Sierra Leone	SA004244O
ESN	Esan in Nigeria	SA004248S
ASW	Americans of African Ancestry in SW USA	SA004047P
ACB	African Caribbeans in Barbados	SA004242M
MXL	Mexican Ancestry from Los Angeles USA	SA004110G
PUR	Puerto Ricans from Puerto Rico	SA004111H
CLM	Colombians from Medellin, Colombia	SA004109O
PEL	Peruvians from Lima, Peru	SA004245P
GIH	Gujarati Indian from Houston, Texas	SA004246Q
PJL	Punjabi from Lahore, Pakistan	SA004240K
BEB	Bengali from Bangladesh	SA004239S
STU	Sri Lankan Tamil from the UK	SA004241L
ITU	Indian Telugu from the UK	SA004247R
