ID	Name	Source
MHDBP000001	Han	ALFRED
MHDBP000002	Ami	ALFRED
MHDBP000003	Hakka	ALFRED
MHDBP000004	Biaka	ALFRED
MHDBP000005	Mbuti	ALFRED
MHDBP000006	Danes	ALFRED
MHDBP000007	Han	ALFRED
MHDBP000008	Japanese	ALFRED
MHDBP000009	Yakut	ALFRED
MHDBP000010	Melanesian, Nasioi	ALFRED
MHDBP000011	Maya, Yucatan	ALFRED
MHDBP000012	Surui	ALFRED
MHDBP000013	Jews, Ethiopian	ALFRED
MHDBP000014	Jews, Yemenite	ALFRED
MHDBP000015	Adygei	ALFRED
MHDBP000016	Finns	ALFRED
MHDBP000017	Russians	ALFRED
MHDBP000018	Europeans, Mixed	ALFRED
MHDBP000019	Atayal	ALFRED
MHDBP000020	Cambodians, Khmer	ALFRED
MHDBP000021	Cheyenne	ALFRED
MHDBP000022	Pima, Arizona	ALFRED
MHDBP000023	Pima, Mexico	ALFRED
MHDBP000024	Ticuna	ALFRED
MHDBP000025	Karitiana	ALFRED
MHDBP000026	Yoruba	ALFRED
MHDBP000027	Kachari	ALFRED
MHDBP000028	Druze	ALFRED
MHDBP000029	Guihiba	ALFRED
MHDBP000030	Irish	ALFRED
MHDBP000031	Micronesians	ALFRED
MHDBP000032	Quechua	ALFRED
MHDBP000033	Samoans	ALFRED
MHDBP000034	Thoti	ALFRED
MHDBP000035	Papuan New Guinean	ALFRED
MHDBP000036	Jews, Sephardic	ALFRED
MHDBP000037	Malaysians	ALFRED
MHDBP000038	Samaritans	ALFRED
MHDBP000039	Ibo	ALFRED
MHDBP000040	Hausa	ALFRED
MHDBP000041	African Americans	ALFRED
MHDBP000042	Chagga	ALFRED
MHDBP000043	Khanty	ALFRED
MHDBP000044	Komi-Zyrian	ALFRED
MHDBP000045	Jews, Ashkenazi	ALFRED
MHDBP000046	Chuvash	ALFRED
MHDBP000047	Masai	ALFRED
MHDBP000048	Koreans	ALFRED
MHDBP000049	Russians	ALFRED
MHDBP000050	Sandawe	ALFRED
MHDBP000051	Lao Loum	ALFRED
MHDBP000052	Keralite	ALFRED
MHDBP000053	Hungarian	ALFRED
MHDBP000054	Negroid Makrani	ALFRED
MHDBP000055	Somali	ALFRED
MHDBP000056	Mohanna	ALFRED
MHDBP000057	Hazara	ALFRED
MHDBP000058	Zaramo	ALFRED
MHDBP000059	Kuwaiti	ALFRED
MHDBP000060	Palestinian	ALFRED
MHDBP000061	Greeks	ALFRED
MHDBP000062	Sardinian	ALFRED
MHDBP000063	Lisongo	ALFRED
MHDBP000064	Pashtun	ALFRED
MHDBP000065	Mongolian	ALFRED
MHDBP000066	Tsaatan	ALFRED
MHDBP000067	Luhya	ALFRED
MHDBP000068	African Americans	ALFRED
MHDBP000069	Yoruba	ALFRED
MHDBP000070	Finns	ALFRED
MHDBP000071	British	ALFRED
MHDBP000072	Italians	ALFRED
MHDBP000073	Han	ALFRED
MHDBP000074	Han	ALFRED
MHDBP000075	Japanese	ALFRED
MHDBP000076	Iberian	ALFRED
MHDBP000077	Colombian	ALFRED
MHDBP000078	Mexicans	ALFRED
MHDBP000079	Puerto Rican	ALFRED
MHDBP000080	Dai	ALFRED
MHDBP000081	Bengali	ALFRED
MHDBP000082	Punjabi	ALFRED
MHDBP000083	Tamil	ALFRED
MHDBP000084	Afro-Caribbeans	ALFRED
MHDBP000085	Malinke	ALFRED
MHDBP000086	Mende	ALFRED
MHDBP000087	Peruvian	ALFRED
MHDBP000088	Gujarati	ALFRED
MHDBP000089	Telugu	ALFRED
MHDBP000090	Esan	ALFRED
MHDBP000091	Vietnamese	ALFRED
MHDBP000092	European Americans	ALFRED
MHDBP000093	Iranian	ALFRED
MHDBP000094	Turks	ALFRED
MHDBP000095	Cypriot, Turkish	ALFRED
MHDBP000096	Saudi	ALFRED
