Marker	Ae	In	Extent
SE33	14.69	0.674	291
FGA	9.38	0.330	192
Penta_E	8.26	0.520	379
D12S391	8.07	0.353	229
D18S51	7.07	0.366	318
D1S1656	6.91	0.386	149
D21S11	6.30	0.354	210
D2S1338	6.21	0.350	325
D6S1043	5.70	0.486	110
Penta_D	5.34	0.342	429
D8S1179	4.94	0.233	177
D19S433	4.81	0.342	130
vWA	4.79	0.194	154
D7S820	4.32	0.224	239
D16S539	4.16	0.171	288
D10S1248	4.06	0.186	247
D13S317	3.94	0.291	189
TH01	3.92	0.286	195
D3S1358	3.72	0.127	131
D2S441	3.71	0.391	94
D5S818	3.67	0.236	135
D22S1045	3.62	0.252	156
CSF1PO	3.41	0.191	315
TPOX	3.00	0.221	244
