Name	Xref	Reference	Chrom	Offsets	VarRef
mh01CP-010		GRCh38	chr1	85240117,85240130,85240139	rs6663690,rs77271423,rs6687312
mh04CP-004		GRCh38	chr4	7402842,7402854,7402870	rs4689729,rs58257016,rs78610507
mh08CP-009		GRCh38	chr8	112168152,112168167,112168168	rs1420860,rs2264611,rs2264612
mh10CP-005		GRCh38	chr10	14613455,14613468,14613487	rs943547,rs77839883,rs10906716
mh10CP-006		GRCh38	chr10	6217655,6217663,6217664,6217693,6217698	rs2516625,rs7896450,rs11818646,rs2516626,rs11257345
mh12CP-003		GRCh38	chr12	129135548,129135549,129135561	rs77966432,rs12828852,rs12827386
mh12CP-007		GRCh38	chr12	68895968,68895985,68895994	rs11177408,rs7968202,rs4913472
mh13CP-010		GRCh38	chr13	29218044,29218055,29218076	rs7998959,rs12859370,rs6490374
mh16CP-001		GRCh38	chr16	8781671,8781673,8781687,8781727,8781747	rs2270288,rs2270289,rs737695,rs737694,rs78352097
mh17CP-002		GRCh38	chr17	2036207,2036208,2036248	rs903164,rs3752963,rs3752962
