Name	AvgAe	RankAvgAe	In	RankIn	Length
mh03LV-01	33.919	1	0.8894	4	321
mh09LV-02	28.004	2	0.9683	2	343
mh10LV-03	25.1567	3	0.8834	5	325
mh20LV-04	24.2601	4	0.9019	3	350
mh02LV-05	20.7826	5	0.8416	7	325
mh03LV-06	20.3159	6	0.8625	6	198
mh03LV-07	14.0275	7	1.081	1	198
mh02LV-08	13.9066	8	0.6344	10	190
mh06LV-09	10.4354	9	0.6829	8	193
mh13LV-10	9.6136	10	0.532	13	194
mh13KK-218	7.2252	11	0.2687	47	146
mh03USC-3qC	6.0269	12	0.328	28	97
mh05KK-170	5.8163	13	0.3436	26	137
mh10KK-169	5.765	14	0.2829	40	292
mh02KK-134	5.206	15	0.2759	45	104
mh10KK-163	5.1071	16	0.2302	78	260
mh21KK-320	5.0586	17	0.1583	168	186
mh06KK-008	4.8459	18	0.5364	12	220
mh02AT-05	4.5544	19	0.2	109	40
mh21KK-324	4.5506	20	0.3071	29	159
mh13KK-217	4.4789	21	0.1662	152	193
mh16KK-049	4.4743	22	0.1576	169	174
mh01KK-117	4.4565	23	0.1933	119	187
mh09USC-9pA	4.4514	24	0.2989	31	72
mh13USC-13qA	4.4067	25	0.1615	161	70
mh05CP-010	4.4028	26	0.0803	333	50
mh07USC-7pB	4.3649	27	0.1746	140	52
mh21KK-315	4.3647	28	0.1292	227	146
mh22USC-22qB	4.3459	29	0.2916	35	53
mh04KK-030	4.2975	30	0.2406	70	115
mh13USC-13qD	4.2401	31	0.1535	174	68
mh08KK-039	4.1595	32	0.3955	19	213
mh19KK-299	4.1592	33	0.2335	75	154
mh05USC-5pA	4.1459	34	0.1754	138	65
mh12CP-008	4.1092	35	0.0918	315	34
mh04KK-013	4.1089	36	0.17	147	201
mh11KK-180	4.0916	37	0.2604	57	194
mh19USC-19qB	4.0756	38	0.1368	208	27
mh01KK-205	4.0654	39	0.0717	352	155
mh02KK-136	4.0513	40	0.119	244	71
mh02AT-07	4.0513	41	0.119	245	71
mh13KK-223	4.0458	42	0.1173	249	154
mh12USC-12qB	4.0409	43	0.2835	39	78
mh13KK-213	4.0188	44	0.1518	178	141
mh18AT-39	4.0036	45	0.2495	61	83
mh18KK-293	4.0036	46	0.2495	62	83
mh11USC-11pB	3.9841	47	0.1404	202	21
mh04USC-4pA	3.978	48	0.1338	215	77
mh02USC-2pC	3.9437	49	0.062	367	80
mh07USC-7qC	3.9362	50	0.2237	83	69
