Name	Xref	NumVars	Chr	OffsetsHg37	OffsetsHg38	VarRef
mh01ZBF-001		4	1			rs112146896,rs35489138,rs2496317,rs10927784
mh01ZBF-002		2	1			rs562340280,rs3120715
mh02ZBF-001		3	2			rs28745279,rs28382977,rs28382976
mh02ZBF-002		3	2			rs199997091,rs2012214,rs2012213
mh03ZBF-001		2	3			rs10546081,rs3836269
mh03ZBF-002		2	3			rs3830564,rs262990
mh04ZBF-001		2	4			rs1382755,rs33911727
mh05ZBF-001		2	5			rs13158027,rs2307656
mh06ZBF-001		2	6			rs1527874,rs1527875
mh07ZBF-001		2	7			rs11767982,rs59679400
mh08ZBF-001		3	8			rs3824170,rs3824169,rs3824168
mh09ZBF-001		3	9			rs33951431,rs4741748,rs28669967
mh08ZBF-002		2	8			rs2960102,rs5895446
mh10ZBF-001		4	10			rs10905513,rs41293961,rs687805,rs11256056
mh11ZBF-001		2	11			rs11029986,rs35974596
mh13ZBF-001		2	13			rs10540867,rs72649510
mh15ZBF-001		2	15			rs636967,rs78548506
mh16ZBF-001		2	16			rs2278490,rs2278489
mh17ZBF-001		3	17			rs11078089,rs141749783,rs12449382
mh18ZBF-001		2	18			rs7241559,rs557576
mh18ZBF-002		4	18			rs112321814,rs9947941,rs602785,rs112366023
mh20ZBF-001		2	20			rs3092307,rs2741640
mh22ZBF-001		4	22			rs2073916,rs2330188,rs2877079,rs2330189
