Name	Xref	NumVars	Chrom	OffsetsHg37	OffsetsHg38	VarRef
mh01USC-1pA		4	chr1		1594569,1594598,1594613,1594617	rs28503881,rs4648788,rs72634811,rs28689700
mh01USC-1pB		3	chr1		53116633,53116648,53116652	rs3766785,rs1679910,rs1679911
mh01USC-1pC		3	chr1		80236360,80236417,80236441	rs4472717,rs1776320,rs2211434
mh01USC-1pD		3	chr1		106227453,106227475,106227487	rs6702428,rs12031966,rs6687440
mh01USC-1qA		2	chr1		167157730,167157749	rs870880,rs870879
mh01USC-1qB		4	chr1		187653277,187653299,187653303,187653347	rs4512600,rs10753020,rs4344286,rs34715816
mh01USC-1qC		3	chr1		201985639,201985672,201985678	rs6702229,rs117262471,rs6665072
mh01USC-1qD		3	chr1		235603659,235603670,235603675	rs12141154,rs74148721,rs56274766
mh02USC-2pA		4	chr2		10810991,10811035,10811042,10811069	rs76708321,rs1686420,rs1686419,rs1686418
mh02USC-2pB		3	chr2		45236329,45236347,45236397	rs1559479,rs1559480,rs1559481
mh02USC-2pC		4	chr2		79025823,79025835,79025901,79025902	rs369221,rs10171097,rs3816371,rs385742
mh02USC-2qA		4	chr2		102476043,102476053,102476115,102476124	rs1468789,rs1468788,rs6543144,rs35181686
mh02USC-2qB		3	chr2		137845753,137845766,137845786	rs1378757,rs4954545,rs960064
mh02USC-2qC		3	chr2		168160894,168160925,168160949	rs16854955,rs10930308,rs77278474
mh02USC-2qD		3	chr2		205957895,205957903,205957915	rs10179987,rs10179825,rs12615620
mh02USC-2qE		3	chr2		240602474,240602493,240602497	rs10933619,rs4676418,rs4676417
mh03USC-3pA		4	chr3		5492729,5492767,5492772,5492797	rs11710159,rs9853649,rs9849667,rs1991577
mh03USC-3pB		5	chr3		42883132,42883149,42883185,42883190,42883198	rs11129981,rs11129982,rs75361533,rs11129983,rs1896565
mh03USC-3pC		4	chr3		62048099,62048138,62048145,62048191	rs72887867,rs9870526,rs1557913,rs1557912
mh03USC-3qA		4	chr3		98221103,98221116,98221142,98221179	rs16839424,rs16839427,rs62267188,rs2047390
mh03USC-3qB		3	chr3		134173988,134174020,134174027	rs35775034,rs6776502,rs10804627
mh03USC-3qC		5	chr3		196653025,196653034,196653044,196653084,196653121	rs6583335,rs9848767,rs843520,rs9833841,rs965140
mh04USC-4pA		4	chr4		8120733,8120768,8120801,8120809	rs13152013,rs11936149,rs10938693,rs12498797
mh04USC-4pB		3	chr4		36638137,36638167,36638178	rs16992511,rs16992516,rs10015011
mh04USC-4qA		3	chr4		58569908,58569910,58569935	rs13115268,rs9996466,rs2642174
mh04USC-4qB		3	chr4		99121084,99121090,99121110	rs60652198,rs6532796,rs3828541
mh04USC-4qC		4	chr4		154873438,154873480,154873485,154873488	rs6813070,rs9684324,rs10028045,rs72617471
mh04USC-4qD		4	chr4		181874735,181874763,181874771,181874785	rs34521178,rs4533811,rs4450974,rs61132367
mh05USC-5pA		4	chr5		11046016,11046056,11046060,11046080	rs2973486,rs1393134,rs1697905,rs2907091
mh05USC-5pB		2	chr5		44554678,44554694	rs6897963,rs35656601
mh05USC-5qA		4	chr5		56469015,56469033,56469103,56469108	rs71624133,rs16885510,rs421215,rs400452
mh05USC-5qB		4	chr5		107030513,107030526,107030541,107030554	rs4264928,rs4489045,rs56997890,rs4308467
mh05USC-5qC		3	chr5		133580667,133580689,133580716	rs10491291,rs256256,rs256257
mh05USC-5qD		3	chr5		178840367,178840377,178840413	rs10062221,rs28397824,rs4700820
mh06USC-6pA		3	chr6		23765102,23765123,23765143	rs6931626,rs16888137,rs9379570
mh06USC-6pB		3	chr6		53836249,53836252,53836260	rs4645423,rs3001008,rs6903399
mh06USC-6qA		3	chr6		77233323,77233337,77233339	rs11756056,rs72894648,rs10806089
mh06USC-6qB		4	chr6		95924446,95924462,95924463,95924479	rs2799638,rs1932879,rs685476,rs513485
mh06USC-6qC		3	chr6		119809193,119809227,119809240	rs7753659,rs9398528,rs9489814
mh06USC-6qD		4	chr6		163606630,163606705,163606714,163606725	rs17592412,rs36050623,rs9365583,rs9365584
mh07USC-7pA		4	chr7		11573508,11573525,11573544,11573551	rs12699242,rs11769538,rs69,rs11769542
mh07USC-7pB		4	chr7		25407969,25407971,25407994,25408020	rs6951954,rs6969555,rs2158900,rs73080042
mh07USC-7pC		5	chr7		57150395,57150406,57150414,57150419,57150445	rs7800246,rs7811722,rs13238865,rs13228137,rs7811740
mh07USC-7qA		3	chr7		68587893,68587936,68587946	rs10257650,rs7800426,rs7804292
mh07USC-7qB		3	chr7		115032625,115032629,115032665	rs4483078,rs2396784,rs7791565
mh07USC-7qC		5	chr7		151821663,151821692,151821719,151821720,151821731	rs11769593,rs1528976,rs12532553,rs10952319,rs12532554
mh08USC-8pA		4	chr8		3448907,3448913,3448925,3448935	rs10097211,rs80063668,rs73660014,rs7007616
mh08USC-8pB		5	chr8		40806674,40806697,40806707,40806709,40806723	rs34821009,rs7822905,rs7836134,rs7822909,rs6474278
mh08USC-8qA		3	chr8		62032395,62032425,62032463	rs6990858,rs344202,rs344201
mh08USC-8qB		3	chr8		86148149,86148157,86148187	rs2721247,rs2626343,rs10283072
mh08USC-8qC		4	chr8		137028438,137028480,137028499,137028520	rs10093040,rs16906685,rs9324441,rs10505669
mh09USC-9pA		5	chr9		2288646,2288676,2288699,2288709,2288717	rs1408329,rs11789647,rs12555748,rs1535838,rs1408330
mh09USC-9pB		4	chr9		31196676,31196714,31196731,31196744	rs7869638,rs7855880,rs7869450,rs7869548
mh09USC-9qA		3	chr9		70747687,70747714,70747746	rs60864427,rs76929424,rs11142562
mh09USC-9qB		4	chr9		102141544,102141545,102141554,102141580	rs689244,rs7020766,rs689230,rs10820076
mh09USC-9qC		5	chr9		133903714,133903729,133903741,133903772,133903791	rs2789822,rs2810498,rs2519993,rs10993851,rs2519994
mh10USC-10pA		3	chr10		10370253,10370276,10370279	rs10795793,rs6602424,rs11256580
mh10USC-10pB		3	chr10		25550464,25550502,25550516	rs11816330,rs10828819,rs4749046
mh10USC-10qA		3	chr10		44446526,44446541,44446553	rs1577180,rs1577179,rs10900038
mh10USC-10qB		3	chr10		81422390,81422401,81422406	rs11189823,rs11594714,rs11189824
mh10USC-10qC		3	chr10		133152559,133152612,133152649	rs200792837,rs60227220,rs12768641
mh11USC-11pA		3	chr11		14767417,14767470,14767490	rs10832301,rs10734227,rs12577507
mh11USC-11pB		4	chr11		34415816,34415818,34415835,34415836	rs59090359,rs2420396,rs2420395,rs12273809
mh11USC-11qA		2	chr11		70096117,70096120	rs2155454,rs10792738
mh11USC-11qB		4	chr11		102727843,102727855,102727868,102727923	rs7943404,rs3758860,rs3758861,rs6590985
mh11USC-11qC		3	chr11		129407382,129407396,129407418	rs9787807,rs3019797,rs7105133
mh12USC-12pA		4	chr12		6471061,6471082,6471106,6471147	rs2072377,rs2072378,rs12422771,rs12426815
mh12USC-12pB		3	chr12		29994612,29994629,29994637	rs1909159,rs1909158,rs7296351
mh12USC-12qA		3	chr12		40392916,40392929,40392949	rs7954300,rs7957367,rs11176418
mh12USC-12qB		4	chr12		68114495,68114515,68114543,68114572	rs11177060,rs2111058,rs10878750,rs11835920
mh12USC-12qC		4	chr12		95767416,95767428,95767482,95767486	rs11830564,rs10859942,rs11830584,rs7977346
mh13USC-13qA		4	chr13		32979441,32979488,32979489,32979510	rs9315199,rs2149859,rs570992,rs571057
mh13USC-13qB		4	chr13		63435472,63435478,63435498,63435532	rs4357820,rs9598587,rs1890901,rs1340493
mh13USC-13qC		4	chr13		85333526,85333532,85333537,85333544	rs1331557,rs60535135,rs9319142,rs34346762
mh13USC-13qD		4	chr13		111435605,111435617,111435623,111435672	rs1163850,rs1163851,rs2528755,rs8000060
mh14USC-14qA		3	chr14		25255022,25255041,25255048	rs7152322,rs7147034,rs7147042
mh14USC-14qB		3	chr14		51779876,51779937,51779953	rs4898711,rs7149159,rs79487985
mh14USC-14qC		3	chr14		76167613,76167623,76167667	rs11629333,rs8005686,rs8005709
mh14USC-14qD		3	chr14		97762484,97762487,97762497	rs11626442,rs1462270,rs11160405
mh15USC-15qA		4	chr15		33639028,33639029,33639063,33639111	rs12909514,rs10851886,rs10775210,rs71462875
mh15USC-15qB		3	chr15		61473268,61473320,61473326	rs35936958,rs12708467,rs35864260
mh15USC-15qC		3	chr15		80292254,80292324,80292331	rs2866602,rs2866603,rs2866604
mh15USC-15qD		4	chr15		97712697,97712703,97712738,97712747	rs1816771,rs74033914,rs5007156,rs4965040
mh16USC-16pA		4	chr16		9581410,9581419,9581424,9581450	rs74787028,rs1035113,rs12325411,rs11649432
mh16USC-16pB		2	chr16		24314926,24314936	rs6497733,rs7190328
mh16USC-16qA		3	chr16		60999359,60999366,60999375	rs6500175,rs6500176,rs1593165
mh16USC-16qB		3	chr16		82548846,82548921,82548934	rs7197719,rs7197894,rs7202873
mh17USC-17pA		3	chr17		3918624,3918658,3918693	rs4995289,rs4995288,rs9904113
mh17USC-17qA		4	chr17		27762200,27762204,27762238,27762287	rs28944196,rs28944195,rs9895831,rs28944193
mh17USC-17qB		3	chr17		51372404,51372415,51372451	rs8082481,rs67078965,rs62060135
mh17USC-17qC		4	chr17		80946036,80946058,80946091,80946119	rs2138119,rs2271610,rs2271611,rs2271612
mh18USC-18pA		5	chr18		5280017,5280020,5280070,5280071,5280093	rs12969830,rs12965396,rs12964283,rs59300933,rs67226605
mh18USC-18qA		3	chr18		31141606,31141609,31141623	rs2420207,rs2420208,rs72924570
mh18USC-18qB		3	chr18		53021128,53021158,53021170	rs9807185,rs7504773,rs11872713
mh18USC-18qC		4	chr18		66175286,66175304,66175320,66175325	rs72942150,rs4525598,rs4556892,rs7240472
mh19USC-19pA		3	chr19		561778,561795,561815	rs62132586,rs76360971,rs62132587
mh19USC-19pB		5	chr19		16040864,16040894,16040899,16040921,16040929	rs7508161,rs7508172,rs7508128,rs35657068,rs73004896
mh19USC-19qA		4	chr19		33273771,33273785,33273811,33273816	rs10419866,rs12978036,rs10420798,rs11672621
mh19USC-19qB		3	chr19		53714387,53714389,53714413	rs62144099,rs10404533,rs10404915
mh20USC-20pA		4	chr20		8829401,8829409,8829412,8829475	rs724110,rs6077431,rs6077432,rs4374436
mh20USC-20pB		3	chr20		23104395,23104401,23104453	rs6076024,rs844829,rs844830
mh20USC-20qA		3	chr20		39401688,39401696,39401709	rs4435517,rs4474941,rs34641114
mh20USC-20qB		4	chr20		62516293,62516304,62516313,62516338	rs73151289,rs28971537,rs4076758,rs36190610
mh21USC-21qA		4	chr21		14526884,14526901,14526930,14526953	rs2822743,rs4817235,rs2822744,rs2822745
mh21USC-21qB		3	chr21		38923139,38923144,38923165	rs2410066,rs78598734,rs2256553
mh22USC-22qA		4	chr22		30404315,30404322,30404348,30404378	rs2283869,rs2283870,rs4820845,rs4820846
mh22USC-22qB		5	chr22		48665163,48665174,48665181,48665203,48665215	rs4925431,rs4925399,rs4925432,rs4925400,rs77899570
mh0XUSC-XpA		3	chrX		5459544,5459573,5459583	rs5916064,rs5961714,rs9306757
mh0XUSC-XpB		3	chrX		12199350,12199375,12199397	rs6640934,rs722801,rs722802
mh0XUSC-XpC		4	chrX		22545206,22545208,22545232,22545253	rs1395981,rs1395980,rs17320573,rs17275740
mh0XUSC-XqA		2	chrX		71145054,71145135	rs116209949,rs5981076
mh0XUSC-XqB		3	chrX		79887503,79887505,79887511	rs111828895,rs112127038,rs5959600
mh0XUSC-XqC		3	chrX		86322184,86322186,86322256	rs1118914,rs5967719,rs5968890
mh0XUSC-XqD		3	chrX		94276382,94276409,94276443	rs772115763,rs986952,rs7392025
mh0XUSC-XqE		2	chrX		112447273,112447278	rs112509385,rs12393663
mh0XUSC-XqF		2	chrX		120209670,120209745	rs5910800,rs5957332
mh0XUSC-XqG		3	chrX		138369266,138369277,138369296	rs6528537,rs5931396,rs6528538
mh0XUSC-XqH		3	chrX		146934523,146934534,146934544	rs2157571,rs2157572,rs2105950
