     Locus	       I_n	       I_a	ORCA[1-allele]	ORCA[2-allele]
 mh01AT-02	 0.0337782	        NA	  0.055402	 0.0678713
 mh01AT-03	  0.114282	        NA	 0.0704238	 0.0903201
 mh01AT-04	  0.100486	        NA	 0.0723954	 0.0892326
mh01CP-007	 0.0412454	        NA	 0.0546658	 0.0659806
mh01CP-008	  0.122041	        NA	 0.0713912	 0.0873256
mh01CP-010	 0.0736172	        NA	 0.0672909	  0.084183
mh01CP-012	  0.175479	        NA	 0.0800844	  0.104348
mh01CP-016	 0.0813261	        NA	 0.0688737	 0.0828087
mh01KK-001	  0.285962	        NA	  0.094321	  0.126414
mh01KK-002	  0.267208	        NA	 0.0930263	  0.120187
mh01KK-070	  0.140908	        NA	 0.0672894	 0.0834987
mh01KK-072	 0.0250702	        NA	 0.0587161	 0.0645351
mh01KK-106	  0.196185	        NA	 0.0867041	  0.112584
mh01KK-117	  0.193335	        NA	 0.0843963	   0.11607
mh01KK-135	  0.244822	        NA	 0.0760368	  0.100513
mh01KK-172	  0.216002	        NA	 0.0839554	  0.108502
mh01KK-205	 0.0716859	        NA	 0.0670253	 0.0884099
mh01KK-210	   0.15304	        NA	 0.0833055	  0.097819
mh01KK-211	  0.170559	        NA	 0.0809696	  0.100132
mh01KKCS-212	  0.639305	        NA	  0.161254	  0.260742
 mh01NH-01	 0.0757417	        NA	 0.0646914	  0.077412
 mh01NH-02	 0.0996518	        NA	 0.0625649	 0.0728573
 mh01NH-03	  0.198724	        NA	 0.0786003	  0.098619
 mh01NH-04	  0.100486	        NA	 0.0723954	 0.0892326
mh01NK-001	  0.151117	        NA	 0.0795472	  0.102808
mh01NKCS-001	  0.151117	        NA	 0.0795472	  0.102808
mh01USC-1pA	  0.202945	        NA	 0.0868708	  0.116326
mh01USC-1pB	  0.143102	        NA	 0.0820169	 0.0988933
mh01USC-1pC	  0.175188	        NA	 0.0814696	  0.106088
mh01USC-1pD	  0.370602	        NA	 0.0940112	  0.128562
mh01USC-1qA	 0.0975571	        NA	 0.0697891	 0.0802946
mh01USC-1qB	  0.158949	        NA	 0.0831649	  0.110524
mh01USC-1qC	 0.0957371	        NA	 0.0789216	 0.0967368
mh01USC-1qD	  0.190746	        NA	 0.0809098	  0.106646
mh01ZBF-001	   0.32822	        NA	  0.106792	  0.145052
mh01ZBF-002	  0.109696	        NA	 0.0704277	 0.0875969
mh01ZHA-009	 0.0495637	        NA	 0.0681341	 0.0814729
mh01ZHA-011	  0.164662	        NA	 0.0798404	  0.104748
mh01ZHA-012	  0.146714	        NA	 0.0831346	  0.111147
 mh02AT-05	  0.200031	        NA	 0.0927169	  0.127597
 mh02AT-07	  0.119017	        NA	 0.0741817	  0.095563
mh02CP-004	 0.0845205	        NA	 0.0675339	 0.0856044
mh02KK-003	  0.302207	        NA	   0.08996	  0.119262
mh02KK-004	  0.227938	        NA	 0.0887066	  0.114078
mh02KK-005	 0.0817877	        NA	 0.0630445	 0.0784751
mh02KK-073	 0.0816025	        NA	 0.0726675	  0.087283
mh02KK-102	  0.149644	        NA	 0.0679941	 0.0808297
mh02KK-105	  0.204327	        NA	 0.0766203	 0.0961383
mh02KK-131	  0.266003	        NA	 0.0883691	  0.107908
mh02KK-134	  0.275935	        NA	  0.108196	  0.150345
mh02KK-136	  0.119017	        NA	 0.0741817	  0.095563
mh02KK-138	  0.265444	        NA	 0.0940725	  0.121252
mh02KK-139	   0.43958	        NA	 0.0971853	  0.122809
mh02KK-201	  0.206429	        NA	  0.077733	 0.0938708
mh02KK-202	 0.0588878	        NA	 0.0608811	  0.069752
mh02KK-213	  0.141643	        NA	 0.0755013	 0.0909584
mh02KK-215	   0.12531	        NA	 0.0764845	 0.0904899
mh02KKCS-013	  0.229848	        NA	 0.0836003	  0.111681
mh02KKCS-022	    0.3415	        NA	  0.100266	   0.15006
mh02KKCS-136	  0.175309	        NA	 0.0889577	  0.119877
 mh02LV-05	  0.841556	        NA	  0.202128	  0.333046
 mh02LV-08	  0.634442	        NA	   0.15488	   0.25326
 mh02NH-05	 0.0244668	        NA	 0.0513711	 0.0596267
 mh02NH-06	 0.0102373	        NA	 0.0474521	 0.0488181
mh02USC-2pA	  0.370214	        NA	 0.0933951	  0.122521
mh02USC-2pB	  0.107974	        NA	 0.0675078	 0.0836664
mh02USC-2pC	 0.0619513	        NA	 0.0640654	 0.0802562
mh02USC-2qA	  0.130889	        NA	 0.0775675	 0.0992272
mh02USC-2qB	  0.127171	        NA	 0.0696746	 0.0886236
mh02USC-2qC	 0.0929077	        NA	 0.0621952	 0.0799132
mh02USC-2qD	 0.0914192	        NA	 0.0702111	 0.0871846
mh02USC-2qE	  0.140711	        NA	 0.0814692	 0.0970726
mh02ZBF-001	   0.12653	        NA	 0.0730026	  0.102484
mh02ZBF-002	  0.104544	        NA	 0.0639927	 0.0818855
mh02ZHA-001	  0.152783	        NA	 0.0773063	  0.105766
mh02ZHA-003	  0.199509	        NA	 0.0834346	   0.11614
mh02ZHA-008	 0.0953727	        NA	 0.0660923	 0.0841636
mh02ZHA-012	  0.126931	        NA	 0.0738834	 0.0918737
mh02ZHA-013	  0.195772	        NA	 0.0812594	  0.114927
 mh03AT-08	  0.100925	        NA	 0.0681753	 0.0816501
 mh03AT-09	 0.0310446	        NA	 0.0578482	 0.0678571
mh03CP-005	  0.185894	        NA	 0.0791183	  0.105332
mh03KK-006	 0.0997657	        NA	 0.0734243	 0.0880584
mh03KK-007	  0.100925	        NA	 0.0681753	 0.0816501
mh03KK-008	  0.172242	        NA	 0.0692854	 0.0927961
mh03KK-009	  0.110407	        NA	 0.0643605	  0.077106
mh03KK-020	    0.2349	        NA	 0.0882822	  0.108572
mh03KK-150	 0.0751794	        NA	   0.06667	 0.0841104
mh03KK-216	  0.255147	        NA	 0.0827228	  0.101486
mh03KKCS-016	   0.16224	        NA	 0.0790495	  0.105327
mh03KKCS-150	 0.0751794	        NA	   0.06667	 0.0841104
 mh03LV-01	  0.889434	        NA	   0.21928	  0.390193
 mh03LV-06	  0.862464	        NA	  0.206756	  0.361308
 mh03LV-07	   1.08103	        NA	  0.244523	  0.407864
 mh03NH-07	 0.0474941	        NA	 0.0538002	 0.0650309
mh03USC-3pA	  0.215006	        NA	   0.08261	  0.112934
mh03USC-3pB	  0.268066	        NA	 0.0841423	  0.112953
mh03USC-3pC	  0.135883	        NA	 0.0772323	  0.100167
mh03USC-3qA	  0.186678	        NA	 0.0802159	  0.103378
mh03USC-3qB	  0.245702	        NA	 0.0825263	  0.111603
mh03USC-3qC	  0.327957	        NA	  0.110619	  0.154956
mh03ZBF-001	 0.0696623	        NA	 0.0714417	 0.0881157
mh03ZBF-002	 0.0585311	        NA	 0.0586625	 0.0692653
mh03ZHA-001	  0.165915	        NA	 0.0747689	  0.102538
mh03ZHA-009	  0.256076	        NA	 0.0907605	  0.129539
 mh04AT-10	   0.13064	        NA	 0.0754243	 0.0964949
 mh04AT-12	  0.104693	        NA	  0.070018	  0.088615
mh04CP-002	   0.06272	        NA	 0.0629366	 0.0760609
mh04CP-003	  0.166773	        NA	 0.0794468	 0.0993922
mh04CP-004	 0.0477022	        NA	 0.0591409	 0.0728722
mh04CP-005	  0.146421	        NA	 0.0738336	 0.0984622
mh04CP-007	 0.0554322	        NA	 0.0636508	 0.0749123
mh04KK-010	   0.13064	        NA	 0.0754243	 0.0964949
mh04KK-011	  0.122656	        NA	 0.0685418	 0.0870432
mh04KK-013	  0.170042	        NA	 0.0861248	  0.117004
mh04KK-015	  0.104279	        NA	 0.0758365	 0.0956487
mh04KK-016	  0.105397	        NA	 0.0758519	 0.0960175
mh04KK-017	   0.14073	        NA	 0.0790462	  0.104636
mh04KK-019	  0.132047	        NA	 0.0672343	 0.0832118
mh04KK-021	 0.0971949	        NA	 0.0631736	 0.0808049
mh04KK-028	   0.10131	        NA	 0.0677397	 0.0795901
mh04KK-029	 0.0571768	        NA	 0.0506788	 0.0602449
mh04KK-030	   0.24057	        NA	 0.0793301	   0.11319
mh04KK-074	  0.188577	        NA	 0.0757175	 0.0952591
mh04KKCS-010	  0.140966	        NA	 0.0770643	 0.0995388
mh04USC-4pA	  0.133758	        NA	 0.0744995	  0.093247
mh04USC-4pB	 0.0757923	        NA	 0.0664706	 0.0816848
mh04USC-4qA	 0.0855624	        NA	 0.0739098	 0.0866828
mh04USC-4qB	  0.297008	        NA	 0.0899773	  0.120991
mh04USC-4qC	  0.106817	        NA	 0.0681432	 0.0843369
mh04USC-4qD	   0.29345	        NA	 0.0955012	  0.127597
mh04ZBF-001	 0.0865067	        NA	 0.0635349	 0.0823516
mh04ZHA-001	  0.165006	        NA	 0.0769408	  0.105143
mh04ZHA-002	  0.112618	        NA	 0.0707582	 0.0917559
mh04ZHA-004	  0.249393	        NA	  0.092334	  0.132603
mh04ZHA-007	  0.291314	        NA	 0.0887811	  0.118191
 mh05AT-13	  0.142122	        NA	 0.0756789	 0.0929777
 mh05AT-14	 0.0964181	        NA	 0.0678813	 0.0790647
mh05CP-004	  0.102592	        NA	 0.0664849	 0.0830512
mh05CP-006	   0.14199	        NA	 0.0745065	  0.096064
mh05CP-010	 0.0803441	        NA	 0.0655382	 0.0816723
mh05KK-020	   0.10497	        NA	 0.0719785	 0.0928329
mh05KK-022	 0.0964181	        NA	 0.0678813	 0.0790647
mh05KK-023	 0.0879372	        NA	 0.0692913	 0.0831178
mh05KK-062	  0.127471	        NA	 0.0778118	 0.0968464
mh05KK-078	 0.0287391	        NA	 0.0498091	 0.0583033
mh05KK-079	  0.111566	        NA	 0.0600624	 0.0715107
mh05KK-120	  0.485682	        NA	  0.104598	  0.138334
mh05KK-121	  0.366329	        NA	  0.105326	  0.140793
mh05KK-122	  0.272227	        NA	 0.0856169	  0.103887
mh05KK-123	  0.159819	        NA	 0.0799774	 0.0982752
mh05KK-124	  0.294916	        NA	 0.0913328	  0.123547
mh05KK-170	  0.343616	        NA	  0.104673	  0.147613
mh05KKCS-020	   0.12608	        NA	  0.074937	  0.100238
mh05KKCS-169	  0.249668	        NA	 0.0891307	  0.130154
 mh05NH-09	 0.0102737	        NA	 0.0482067	 0.0496032
 mh05NH-10	 0.0594295	        NA	  0.057008	 0.0673909
mh05USC-5pA	  0.175448	        NA	 0.0830828	  0.108718
mh05USC-5pB	 0.0913887	        NA	 0.0681206	 0.0859317
mh05USC-5qA	  0.156048	        NA	 0.0749102	  0.104613
mh05USC-5qB	  0.278737	        NA	 0.0869442	  0.122815
