Name	Xref	NumVars	Chrom	OffsetsHg37	OffsetsHg38	VarRef
mh01ZHA-009		3	chr1			rs815738,rs10920178,rs843814
mh01ZHA-011		3	chr1			rs4844633,rs841863,rs6540449
mh01ZHA-012		4	chr1			rs72649965,rs11119437,rs2494175,rs4844968
mh02ZHA-001		4	chr2			rs6745544,rs10190568,rs6717035,rs4668958
mh02ZHA-003		4	chr2			rs10199736,rs10199901,rs62141577,rs7423545
mh02ZHA-008		3	chr2			rs6758274,rs7579563,rs11692946
mh02ZHA-013		4	chr2			rs6430761,rs7606213,rs62168684,rs11695953
mh03ZHA-009		4	chr3			rs193098,rs73005815,rs9831674,rs6784393
mh05ZHA-002		3	chr5			rs33900,rs28060,rs33899
mh05ZHA-005		4	chr5			rs17066625,rs1696966,rs1799554,rs1696967
mh08ZHA-003		4	chr8			rs1471734,rs921781,rs73492855,rs341730
mh08ZHA-008		4	chr8			rs13272409,rs6997388,rs77698197,rs76386173
mh08ZHA-009		4	chr8			rs201591576,rs4875646,rs4875647,rs7824642
mh08ZHA-010		3	chr8			rs9886648,rs9886647,rs11783687
mh09ZHA-004		4	chr9			rs72618165,rs10125273,rs10125295,rs10125370
mh12ZHA-008		4	chr12			rs10862775,rs9943694,rs61954584,rs9943755
mh13ZHA-002		4	chr13			rs72649485,rs12877457,rs9514021,rs9514022
mh14ZHA-006		4	chr14			rs71205883,rs7160425,rs7161550,rs78689987
mh16ZHA-003		3	chr16			rs6498348,rs16960309,rs8052581
mh16ZHA-004		4	chr16			rs34771585,rs72638292,rs4781308,rs4781311
mh16ZHA-006		3	chr16			rs2966051,rs2914455,rs12922936
mh18ZHA-004		4	chr18			rs3971538,rs11660240,rs2135869,rs2870160
mh18ZHA-005		3	chr18			rs877630,rs3892875,rs76519339
mh19ZHA-006		6	chr19			rs10422309,rs201266999,rs75130051,rs10422326,rs10422340,rs118026388
mh22ZHA-003		3	chr22			rs4819804,rs4819514,rs5748271




