Marker	Chrom	Variants
mh01NH-01	chr1	rs910230,rs2311483,rs3818042
mh01NH-02	chr1	rs2235919,rs2076612,rs2076611
mh01NH-03	chr1	rs338564,rs338565,rs543912
mh01NH-04	chr1	rs2296796,rs2296797,rs2296798
mh02NH-05	chr2	rs2303324,rs2303323,rs2303322,rs2303321
mh02NH-06	chr2	rs3769644,rs3769643,rs3769642
mh03NH-07	chr3	rs2293140,rs2293141,rs2293142
mh04NH-08	chr4	rs1026338,rs2278918,rs2278917
mh05NH-09	chr5	rs2255633,rs2255634,rs2255637
mh05NH-10	chr5	rs2237070,rs2237071,rs2237072
mh06NH-11	chr6	rs2294500,rs2294499,rs2294498
mh07NH-12	chr7	rs2073543,rs2073542,rs2073541
mh09NH-13	chr9	rs3818705,rs2282162,rs2282161
mh10NH-14	chr10	rs2277214,rs2277215,rs2277216
mh10NH-15	chr10	rs2284947,rs2284946,rs2284945
mh10NH-16	chr10	rs911703,rs911701,rs911700
mh11NH-17	chr11	rs2074312,rs2074311,rs2074310
mh11NH-18	chr11	rs3794042,rs3794041,rs3794040
mh11NH-19	chr11	rs2023855,rs2023854,rs2023853
mh12NH-20	chr12	rs2239020,rs2239021,rs2239022,rs2239023
mh14NH-21	chr14	rs2281629,rs2281630,rs2281631
mh14NH-22	chr14	rs872810,rs3742893,rs872809
mh19NH-23	chr19	rs387315,rs408312,rs423926
mh20NH-24	chr20	rs2295561,rs2295562,rs2295563
mh20NH-25	chr20	rs2208284,rs2295565,rs2295566
mh20NH-26	chr20	rs2070640,rs2070639,rs2070638
mh22NH-27	chr22	rs3788339,rs3788340,rs3788341
