Marker	Extent	Ae	FailMode	MaxAltFreq	LowComplexRepeats	Repeats	STRs
mh01SCUZJ-0675568	248	33.701	[repeat]			SINE>Alu>AluY[chr1:246868839-246869142]	
mh03LV-01.v2	195	22.697	[indel][repeat]	0.1942		SINE>Alu>AluJb[chr3:4567603-4567899]	
mh03SCUZJ-0000972.v2	220	19.99	[indel][repeat]	0.3822		SINE>Alu>AluY[chr3:242314-242595]	
mh09LV-02.v2	239	17.995	[indel][repeat]	0.008852		LTR>ERVK>LTR5A[chr9:126716511-126717527]	
mh02LV-08.v1	190	14.695	[repeat]			SINE>Alu>AluSc5[chr2:28567460-28567752]	
mh20SCUZJ-0014987	258	13.973	[repeat]			SINE>Alu>AluY[chr20:3913790-3914088]	
mh03LV-07.v2	256	13.881	[repeat]			SINE>Alu>AluY[chr3:5783461-5783758]	
mh03LV-07.v1	198	13.475	[repeat]			SINE>Alu>AluY[chr3:5783461-5783758]	
mh11SCUZJ-0402779	233	13.41	[repeat]			LTR>ERVK>LTR5A[chr11:123279702-123280710]	
mh02LV-05.v2	158	12.036	[repeat]			LTR>ERVL-MaLR>THE1B[chr2:173420552-173420913]	
mh03SCUZJ-0080612	231	10.814	[repeat]			LTR>ERVL-MaLR>THE1A[chr3:15550990-15551341]	
mh18SCUZJ-0246384	159	10.797	[repeat]			SINE>Alu>AluY[chr18:76760362-76760670];LINE>L1>L1P2[chr18:76760670-76760736]	
mh03SCUZJ-0521312	186	10.759	[repeat]			SINE>Alu>AluY[chr3:162350500-162350795]	
mh06SCUZJ-0528857	167	10.552	[repeat]			SINE>Alu>AluY[chr6:73429546-73429837]	
mh13LV-10.v1	194	10.385	[indel][repeat]	0.02706		SINE>Alu>AluSg[chr13:70291856-70292166]	
mh15SCUZJ-0082880	192	10.059	[repeat]			LINE>L1>L1ME2[chr15:46326840-46328097]	
mh10SCUZJ-0003737	214	9.957	[repeat]			SINE>Alu>AluY[chr10:1126123-1126423]	
mh13SCUZJ-0045733	256	9.643	[repeat]			SINE>Alu>AluY[chr13:26484894-26485205]	
mh02ZHA-013.v2	187	9.158	[repeat]			SINE>Alu>AluY[chr2:137936235-137936540]	
mh13SCUZJ-0098743	225	9.077	[repeat]			SINE>Alu>AluY[chr13:43120326-43120631]	
