ID	Name	Chrom	Start	End	Variants
SI664728H	mh10KK-170	10	77150283	77150473	rs2250841,rs2250840,rs12359688
SI664727G	mh04KK-030	4	3664642	3664757	rs16844737,rs4916615,rs1884412,rs1884411
SI664726F	mh17KK-014	17	4497060	4497097	rs333113,rs8074965,rs11657785
SI664725E	mh06KK-008	6	169255933	169256153	rs6930377,rs6921774,rs6605524,rs6605523
SI664724D	mh09KK-161	9	344228	344332	rs4741823,rs16932430
SI664723C	mh20KK-035	20	2088698	2088729	rs6136957,rs13044611
SI664722B	mh16KK-053	16	31087678	31087690	rs201075024,rs11150606
SI664721A	mh01KK-172	1	1551453	1551679	rs3128342,rs3766176,rs1887284
SI664720Z	mh09KK-020	9	16795160	16795288	rs10962598,rs73649032,rs10810635,rs10962599
SI664719H	mh02KK-215	2	136060045	136060088	rs2011946,rs16832624
SI664700X	mh03KK-020	3	140566272	140566492	rs4683510,rs12494698
SI664699O	mh16KK-061	16	87447772	87447822	rs4559917,rs6540049
SI664698N	mh05KK-124	5	33969522	33969589	rs35414,rs3756464
SI664697M	mh02KK-105	2	96700565	96700587	rs2280355,rs2280356
SI664696L	mh06KK-030	6	16801535	16801635	rs10949381,rs675934,rs607341
SI664695K	mh06KK-031	6	69092609	69092768	rs10455681,rs10455682
SI664694J	mh05KK-123	5	33962664	33962772	rs28117,rs1423676
SI664692H	mh05KK-122	5	33958804	33958854	rs1010872,rs28777
SI664644E	mh04KK-029	4	99420681	99420704	rs59534319,rs971074
SI664643D	mh22KK-303	22	19962711	19962806	rs4633,rs6267,rs740602,rs76452330
SI664642C	mh22KK-069	22	41333211	41333290	rs8137373,rs2235845
SI664640A	mh22KK-064	22	36265795	36265995	rs136177,rs73885319,rs60910145,rs71785313
SI664638H	mh22KK-061	22	44367725	44367872	rs763040,rs5764924,rs763041
SI664637G	mh21KK-324	21	45294633	45294792	rs6518223,rs2838868,rs7279250,rs8133697
SI664636F	mh21KK-320	21	41642698	41642884	rs2838081,rs2838082,rs78902658,rs2838083
SI664635E	mh21KK-316	21	26410648	26410783	rs961302,rs17002090,rs961301,rs2830208
SI664634D	mh21KK-315	21	20507773	20507919	rs8126597,rs8131148,rs6517971
SI664633C	mh20KK-307	20	16532614	16532755	rs6044080,rs17674942,rs6044081,rs16997830
SI664632B	mh20KK-058	20	50227722	50227828	rs6122890,rs6095836,rs6012881
SI664631A	mh19KK-301	19	50938487	50938551	rs10408594,rs11084040,rs10408037,rs8104441
SI664630Z	mh19KK-299	19	22546697	22546851	rs12985452,rs4932999,rs4932769,rs2361019,rs2860462
SI664629H	mh19KK-057	19	51654948	51655063	rs17717333,rs12462026,rs7250849
SI664628G	mh18KK-293	18	78329885	78329968	rs621320,rs621340,rs678179,rs621766
SI664627F	mh18KK-285	18	24557354	24557490	rs16940823,rs17187688,rs17187695,rs1945150
SI664626E	mh17KK-272	17	54865066	54865197	rs2934897,rs7207239,rs16955257,rs7212184
SI664625D	mh17KK-110	17	55486420	55486612	rs9908046,rs8075367
SI664624C	mh17KK-105	17	45996522	45996652	rs1052553,rs17652121,rs11568305
SI664623B	mh17KK-077	17	45777789	45777862	rs4074461,rs4074462
SI664622A	mh17KK-076	17	45658111	45658152	rs241027,rs528912185
SI664620Y	mh16KK-302	16	7537731	7537845	rs1395579,rs1395580,rs1395582,rs9939248
SI664619G	mh16KK-255	16	81936747	81936890	rs16956011,rs3934955,rs3934956,rs4073828
SI664618F	mh16KK-096	16	89919708	89919746	rs1805007,rs885479
SI664617E	mh16KK-049	16	7159206	7159380	rs9937467,rs17670098,rs17670111,rs12929083,rs9926495
SI664616D	mh15KK-104	15	63806357	63806495	rs11631544,rs10152453,rs80047978
SI664615C	mh15KK-095	15	48122771	48122871	rs2433354,rs2459391
SI664614B	mh15KK-067	15	46578535	46578657	rs701463,rs701464
SI664613A	mh15KK-066	15	52192752	52192827	rs1063902,rs4219
SI664612Z	mh14KK-101	14	105543139	105543235	rs28529526,rs10134526
SI664611Y	mh14KK-068	14	21157082	21157103	rs1887063,rs1887064
SI664610X	mh13KK-226	13	94894395	94894513	rs721367,rs2892698
SI664609F	mh13KK-225	13	66138599	66138696	rs4884651,rs9529023,rs7329287
SI664608E	mh13KK-223	13	110154351	110154505	rs1192204,rs1192205,rs3825483,rs3825481
SI664607D	mh13KK-218	13	53486691	53486837	rs1927847,rs9536429,rs7492234,rs9536430
SI664606C	mh13KK-217	13	46291794	46291987	rs7320507,rs9562648,rs9562649,rs2765614
SI664605B	mh13KK-213	13	23191401	23191542	rs8181845,rs679482,rs9510616
SI664604A	mh12KK-202	12	30017295	30017449	rs10506052,rs4931233,rs10506053,rs4931234
SI664603Z	mh12KK-093	12	102821069	102821125	rs11111391,rs7970874
SI664602Y	mh12KK-092	12	6796014	6796098	rs2857234,rs2707209
SI664601X	mh12KK-043	12	3599332	3599443	rs11613749,rs11062734,rs17780102
SI664600W	mh11KK-191	11	100009430	100009620	rs12421109,rs12289401,rs12420819,rs770566
SI664599N	mh11KK-187	11	79236550	79236732	rs493442,rs17137917,rs551850,rs17137926
SI664598M	mh11KK-180	11	1669560	1669754	rs12802112,rs28631755,rs7112918,rs4752777
SI664597L	mh11KK-091	11	113475528	113475629	rs1799732,rs1799978
SI664596K	mh11KK-090	11	113425551	113425564	rs1079598,rs1079597
SI664595J	mh11KK-089	11	113411552	113411573	rs1124492,rs1124493
SI664594I	mh11KK-037	11	72558169	72558303	rs341065,rs10898849,rs395447
SI664593H	mh10KK-169	10	14166361	14166653	rs10906617,rs10796164,rs10796165,rs17154765,rs10796166
SI664592G	mh10KK-163	10	3120217	3120477	rs3814588,rs6602026,rs3814589,rs3814590,rs9423466
SI664591F	mh10KK-101	10	133533422	133533455	rs915907,rs915908
SI664590E	mh10KK-088	10	133537759	133537858	rs55897648,rs2515641
SI664589M	mh10KK-087	10	105121710	105121753	rs10884095,rs1452267
SI664588L	mh10KK-086	10	95069672	95069772	rs7909236,rs17110453
SI664587K	mh10KK-085	10	95067392	95067421	rs11572076,rs2275622
SI664586J	mh10KK-084	10	95058348	95058362	rs11572103,rs1058930
SI664585I	mh10KK-083	10	94761816	94761900	rs11568732,rs12248560
SI664584H	mh09KK-157	9	132987091	132987245	rs606141,rs8193001,rs56256724,rs2073578,rs633153
SI664583G	mh09KK-153	9	101207457	101207570	rs10125791,rs2987741,rs7047561
SI664582F	mh09KK-152	9	83193733	83193875	rs10867949,rs4282648,rs10780576,rs7046769
SI664581E	mh09KK-033	9	680713	680791	rs10815466,rs9408671,rs17431629
SI664580D	mh07KK-082	7	141973450	141973545	rs150209521,rs713598
SI664579L	mh07KK-081	7	99652769	99652852	rs41303343,rs28365094
SI664578K	mh07KK-030	7	53594403	53594501	rs2330425,rs967066,rs10226425
SI664577J	mh06KK-101	6	170280714	170280901	rs9356632,rs2180052
SI664576I	mh06KK-080	6	15542066	15542152	rs2056942,rs2056941
SI664575H	mh06KK-026	6	16399415	16399490	rs4565296,rs4431439,rs179939
SI664574G	mh06KK-025	6	2936965	2937113	rs318453,rs9501899,rs11242810
SI664573F	mh05KK-170	5	2447909	2448046	rs74865590,rs438055,rs370672,rs6555108
SI664572E	mh05KK-079	5	9629610	9629701	rs2234232,rs41469
SI664571D	mh05KK-078	5	9629357	9629417	rs2234234,rs2234233
SI664570C	mh04KK-074	4	55457429	55457526	rs11932595,rs17085763
SI664569K	mh05KK-023	5	38881357	38881501	rs617938,rs2278325,rs2278324
SI664568J	mh04KK-028	4	99346973	99347033	rs3762896,rs283413
SI664567I	mh04KK-019	4	178707936	178708067	rs17731793,rs2122136
SI664566H	mh04KK-013	4	67578383	67578584	rs13131164,rs3775866,rs11725922,rs3775867,rs17088476
SI664565G	mh04KK-011	4	37857268	37857333	rs6855439,rs6531591
SI664564F	mh04KK-010	4	1985210	1985245	rs3135123,rs495367
SI664563E	mh03KK-150	3	131927127	131927312	rs1225051,rs1225050,rs1225049,rs1225048
SI664562D	mh03KK-006	3	121645325	121645389	rs1919550,rs9873644
SI664561C	mh02KK-213	2	100480397	100480498	rs7568519,rs7577785,rs1519654
SI664560B	mh02KK-202	2	107031716	107031856	rs13422174,rs12464185
SI664559J	mh02KK-201	2	144995598	144995713	rs1371048,rs786247
SI664558I	mh02KK-136	2	227227672	227227743	rs6714835,rs6756898,rs12617010
SI664557H	mh02KK-134	2	160222899	160223003	rs12469721,rs3101043,rs3111398,rs72623112
SI664556G	mh02KK-102	2	108897599	108897736	rs2169812,rs6542783,rs2378217
SI664555F	mh02KK-073	2	46359894	46359958	rs1374748,rs7583554
SI664554E	mh02KK-004	2	118985034	118985289	rs3731611,rs13424991,rs3731612
SI664553D	mh01NK-001	1	230684604	230684884	rs2479135,rs2296796,rs2296797,rs2296798
SI664552C	mh01KK-211	1	161985865	161986014	rs2490423,rs16835127,rs2341465
SI664551B	mh01KK-210	1	22815857	22816003	rs2165332,rs7536195
SI664550A	mh01KK-205	1	18396197	18396352	rs11810587,rs1336130,rs1533623,rs1533622
SI664549I	mh01KK-117	1	204664211	204664398	rs17413714,rs2772234,rs1610401,rs1610400
SI664548H	mh01KK-106	1	4167403	4167574	rs12123330,rs16840876,rs56212601,rs4468133
SI664547G	mh01KK-072	1	75723759	75723803	rs1251079,rs1251078
SI664546F	mh01KK-070	1	11794399	11794419	rs4846051,rs1801131
SI664251Y	mh22KK-060	22	19963683	19963748	rs4818,rs4680
SI664250X	mh17KK-053	17	47618465	47618548	rs3760370,rs3760371
SI664249F	mh13KK-047	13	50313423	50313589	rs806301,rs2066700
SI664248E	mh11KK-039	11	113340606	113340648	rs2288159,rs10891537
SI664247D	mh01KK-002	1	216461085	216461103	rs4528199,rs6604596
SI664246C	mh01KK-001	1	3826567	3826827	rs4648344,rs6663840,rs58111155,rs6688969
SI664231W	mh17KK-055	17	78232489	78232549	rs11868709,rs9907137
SI664230V	mh11KK-041	11	113412736	113412755	rs6277,rs6275
SI664229D	mh11KK-040	11	113393747	113393789	rs4938013,rs11214596
SI664228C	mh09KK-034	9	12672274	12672320	rs1408800,rs1408801
SI664227B	mh07KK-031	7	97104659	97104745	rs17168174,rs10246622
SI664226A	mh05KK-022	5	9619792	9619824	rs41461,rs41462
SI664225Z	mh04KK-016	4	99392838	99392905	rs2851017,rs2032350
SI664224Y	mh03KK-009	3	114171941	114171968	rs3732783,rs6280
SI664203V	mh05KK-062	5	6844903	6844922	rs870348,rs870347
SI664201T	mh02KK-003	2	108969856	108969981	rs260694,rs11123719,rs11691107
SI664199J	mh04KK-017	4	99400285	99400438	rs4699748,rs2584461,rs1442492
SI664197H	mh04KK-015	4	99383008	99383091	rs2584457,rs12648443
SI664194E	mh20KK-059	20	61128861	61128958	rs10854214,rs10854215
SI664193D	mh19KK-056	19	4852124	4852325	rs1055919,rs2271057
SI664192C	mh17KK-054	17	49209704	49209747	rs2233362,rs634370
SI664191B	mh17KK-052	17	45394954	45395141	rs1059504,rs8327
SI664190A	mh14KK-048	14	73783853	73784012	rs12717560,rs12878166
SI664189I	mh12KK-046	12	118451682	118451754	rs1503767,rs11068953
SI664188H	mh12KK-045	12	102866855	102867041	rs2133298,rs3817446
SI664187G	mh11KK-103	11	113418314	113418576	rs1107162,rs2075654,rs1079727,rs2002453
SI664186F	mh11KK-038	11	113240778	113240943	rs2303377,rs2303378
SI664185E	mh11KK-036	11	5088715	5088838	rs10500616,rs2499936
SI664184D	mh09KK-035	9	134525268	134525462	rs3118582,rs10776839
SI664183C	mh08KK-032	8	11738319	11738460	rs1390950,rs2898295
SI664182B	mh04KK-021	4	186616978	186617176	rs1280100,rs1280099
SI664181A	mh03KK-008	3	46515344	46515458	rs6808142,rs17030627
SI664180Z	mh03KK-007	3	46310863	46310893	rs4513489,rs6441961
SI664179H	mh02KK-005	2	149097582	149097739	rs2170607,rs10497052
