Marker	RSID	Chrom	GRCh37	GRCh38
mh01KK-001	rs2275834	1	3743109	3826545
mh01KK-001	rs4648344	1	3743132	3826568
mh01KK-001	rs4648345	1	3743151	3826587
mh01KK-001	rs6663840	1	3743319	3826755
mh01KK-001	rs58111155	1	3743350	3826786
mh01KK-001	rs6688969	1	3743391	3826827
mh01KK-001	rs199565833	1	3743337	3826773
mh01KK-001	rs376407444	1	3743223	3826659
mh01KK-001	rs114208229	1	3743186	3826622
mh01KK-001	.	1	3743150	.
mh01KK-117	rs17413714	1	204633340	204664212
mh01KK-117	rs2772234	1	204633397	204664269
mh01KK-117	rs1610401	1	204633500	204664372
mh01KK-117	rs1610400	1	204633526	204664398
mh01KK-117	.	1	204633462	.
mh01KK-172	rs3128342	1	1486834	1551454
mh01KK-172	rs3766176	1	1486903	1551523
mh01KK-172	rs1887284	1	1487059	1551679
mh01KK-172	rs115309688	1	1486880	1551500
mh01KK-172	rs3766175	1	1486939	1551559
mh01KK-172	rs74511912	1	1487043	1551663
mh01KK-172	.	1	1486946	.
mh01KK-205	rs11810587	1	18722692	18396198
mh01KK-205	rs1336130	1	18722713	18396219
mh01KK-205	rs1533623	1	18722801	18396307
mh01KK-205	rs1533622	1	18722846	18396352
mh01KK-205	rs1336131	1	18722737	18396243
mh01KK-205	rs56176731	1	18722933	18396439
mh01KK-205	rs138362286	1	18722871	18396377
mh01KK-205	.	1	18722730	.
mh01KK-212	rs16850184	1	202616547	202647419
mh01KK-212	rs57658975	1	202616589	202647461
mh01KK-212	rs58023111	1	202616637	202647509
mh01KK-212	rs59815839	1	202616676	202647548
mh01KK-212	rs58060874	1	202616687	202647559
mh01KK-212	rs12121078	1	202616789	202647661
mh01KK-212	rs11589785	1	202616616	202647488
mh01KK-212	rs114630930	1	202616698	202647570
mh01KK-212	rs186753019	1	202616580	202647452
mh01KK-212	rs72750624	1	202616590	202647462
mh01KK-212	rs114711668	1	202616597	202647469
mh01KK-213	rs79793450	1	232811740	232675994
mh01KK-213	rs7521883	1	232811769	232676023
mh01KK-213	rs9424470	1	232811821	232676075
mh01KK-213	rs12118941	1	232811909	232676163
mh01KK-213	rs77211663	1	232811928	232676182
mh01KK-213	rs6424246	1	232811780	232676034
mh01KK-213	rs75030648	1	232811797	232676051
mh01KK-213	rs186507293	1	232811847	232676101
mh01KK-213	rs12120379	1	232811955	232676209
mh01KK-213	.	1	232811927	.
mh01NK-001	rs2479135	1	230820351	230684605
mh01NK-001	rs2296796	1	230820578	230684832
mh01NK-001	rs2296797	1	230820605	230684859
mh01NK-001	rs2296798	1	230820630	230684884
mh02KK-013	rs7584136	2	105833093	105216636
mh02KK-013	rs35414072	2	105833128	105216671
mh02KK-013	rs34544149	2	105833193	105216736
mh02KK-013	rs1978821	2	105833235	105216778
mh02KK-013	rs1978820	2	105833251	105216794
mh02KK-013	rs114422847	2	105833031	105216574
mh02KK-013	rs147490454	2	105833083	105216626
mh02KK-014	rs6730730	2	228524110	227659394
mh02KK-014	rs72961055	2	228524141	227659425
mh02KK-014	rs58129342	2	228524165	227659449
mh02KK-014	rs4332915	2	228524179	227659463
mh02KK-014	rs4321359	2	228524310	227659594
mh02KK-014	rs4270334	2	228524087	227659371
mh02KK-014	rs4580373	2	228524254	227659538
mh02KK-014	rs60403543	2	228524154	227659438
mh02KK-014	rs77155305	2	228524177	227659461
mh02KK-014	rs182570717	2	228524166	227659450
mh02KK-014	rs73084811	2	228524072	227659356
mh02KK-014	rs78561058	2	228524094	227659378
mh02KK-014	.	2	228524162	.
mh02KK-015	rs3791372	2	240004807	239083111
mh02KK-015	rs3791373	2	240004838	239083142
mh02KK-015	rs3791374	2	240004891	239083195
mh02KK-015	rs3791375	2	240004900	239083204
mh02KK-015	rs28404128	2	240004961	239083265
mh02KK-015	rs112145050	2	240004924	239083228
mh02KK-015	rs140587940	2	240004993	239083297
mh02KK-015	rs74566136	2	240004922	239083226
mh02KK-015	rs75104001	2	240004773	239083077
mh02KK-015	.	2	240004923	.
mh02KK-022	rs13021132	2	3172438	3168667
mh02KK-022	rs10495516	2	3172635	3168864
mh02KK-022	rs10495515	2	3172653	3168882
mh02KK-022	rs62123466	2	3172686	3168915
mh02KK-022	rs74618846	2	3172597	3168826
mh02KK-022	rs79989676	2	3172539	3168768
mh02KK-029	rs77788766	2	69138958	68911826
mh02KK-029	rs6726044	2	69138992	68911860
mh02KK-029	rs10191936	2	69139026	68911894
mh02KK-029	rs12999343	2	69139137	68912005
mh02KK-029	rs114774962	2	69139167	68912035
mh02KK-029	rs115054914	2	69139150	68912018
mh02KK-029	rs72905669	2	69139157	68912025
mh02KK-029	rs78044414	2	69139155	68912023
mh02KK-029	rs372620871	2	69138986	68911854
mh02KK-029	rs191237929	2	69138982	68911850
mh02KK-029	.	2	69138957	.
mh02KK-029	.	2	69139185	.
mh02KK-029	.	2	69138983	.
mh02KK-031	rs6740521	2	123395825	122638249
mh02KK-031	rs13400652	2	123395877	122638301
mh02KK-031	rs13400673	2	123395921	122638345
mh02KK-031	rs7575942	2	123396005	122638429
mh02KK-031	.	2	123395981	.
mh02KK-134	rs12469721	2	161079411	160222900
mh02KK-134	rs3101043	2	161079435	160222924
mh02KK-134	rs3111398	2	161079450	160222939
mh02KK-134	rs72623112	2	161079514	160223003
mh02KK-134	rs190062220	2	161079456	160222945
mh02KK-134	.	2	161079498	.
mh02KK-136	rs6714835	2	228092389	227227673
mh02KK-136	rs6756898	2	228092406	227227690
mh02KK-136	rs12617010	2	228092459	227227743
mh02KK-136	rs6728149	2	228092334	227227618
mh02KK-136	rs184900040	2	228092351	227227635
mh02KK-138	rs4953292	2	46191983	45964844
mh02KK-138	rs2595202	2	46192017	45964878
mh02KK-138	rs6759301	2	46192078	45964939
mh02KK-138	rs59298278	2	46192092	45964953
mh02KK-138	rs2595203	2	46192191	45965052
mh02KK-138	rs6715568	2	46192231	45965092
mh02KK-138	.	2	46191988	.
mh03KK-016	rs9310445	3	14377469	14335969
mh03KK-016	rs9867515	3	14377500	14336000
mh03KK-016	rs9867516	3	14377505	14336005
mh03KK-016	rs874969	3	14377609	14336109
mh03KK-016	rs874967	3	14377632	14336132
mh03KK-016	rs9310444	3	14377443	14335943
mh03KK-016	rs367833150	3	14377432	14335932
mh03KK-016	rs375235722	3	14377510	14336010
mh03KK-016	rs13082821	3	14377589	14336089
mh03KK-017	rs267527	3	37516083	37474592
mh03KK-017	rs267526	3	37516136	37474645
mh03KK-017	rs2162683	3	37516184	37474693
mh03KK-017	rs197766	3	37516206	37474715
mh03KK-017	rs35590538	3	37516034	37474543
mh03KK-017	rs140794158	3	37516028	37474537
mh03KK-017	rs150108526	3	37516078	37474587
mh03KK-017	.	3	37516042	.
mh03KK-018	rs6806321	3	117156240	117437393
mh03KK-018	rs9870146	3	117156255	117437408
mh03KK-018	rs3971402	3	117156294	117437447
mh03KK-018	rs6770710	3	117156402	117437555
mh03KK-018	rs3971401	3	117156432	117437585
mh03KK-018	rs12695349	3	117156463	117437616
mh03KK-018	rs9832546	3	117156384	117437537
mh03KK-018	rs77141935	3	117156293	117437446
mh03KK-018	rs116231064	3	117156327	117437480
mh03KK-018	.	3	117156290	.
mh03KK-047	rs6441891	3	45166223	45124731
mh03KK-047	rs59145932	3	45166253	45124761
mh03KK-047	rs7612333	3	45166285	45124793
mh03KK-047	rs34703630	3	45166416	45124924
mh03KK-047	rs189841224	3	45166460	45124968
mh03KK-047	.	3	45166288	.
mh03KK-150	rs1225051	3	131645972	131927128
mh03KK-150	rs1225050	3	131646001	131927157
mh03KK-150	rs1225049	3	131646087	131927243
mh03KK-150	rs1225048	3	131646156	131927312
mh04KK-010	rs3135123	4	1986938	1985211
mh04KK-010	rs495367	4	1986972	1985245
mh04KK-010	rs376745306	4	1986750	1985023
mh04KK-010	rs185470596	4	1986853	1985126
