Name	Xref	NumVars	Chrom	OffsetsHg37	OffsetsHg38	VarRef
mh03LV-01		22	chr3	4609153,4609174,4609196,4609209,4609219,4609223,4609245,4609255,4609274,4609276,4609295,4609300,4609307,4609312,4609329,4609347,4609406,4609426,4609430,4609432,4609435,4609473	4567469,4567490,4567512,4567525,4567535,4567539,4567561,4567571,4567590,4567592,4567611,4567616,4567623,4567628,4567645,4567663,4567722,4567742,4567746,4567748,4567751,4567789	rs62231456,rs17758821,rs561851752,rs17040924,rs111704353,rs150881536,rs13087672,rs566180672,rs77763553,rs59060606,rs59221590,rs59377625,rs539442686,rs56073408,rs573011000,rs13089179,rs187450783,rs111771128,rs150062515,rs147314904,rs199906322,rs571141628
mh09LV-02		45	chr9	129479272,129479279,129479280,129479294,129479298,129479320,129479330,129479336,129479340,129479341,129479343,129479344,129479367,129479368,129479389,129479394,129479407,129479445,129479454,129479457,129479459,129479467,129479472,129479474,129479476,129479479,129479480,129479482,129479485,129479486,129479488,129479492,129479503,129479515,129479524,129479526,129479533,129479534,129479542,129479547,129479548,129479578,129479579,129479588,129479614	126716993,126717000,126717001,126717015,126717019,126717041,126717051,126717057,126717061,126717062,126717064,126717065,126717088,126717089,126717110,126717115,126717128,126717166,126717175,126717178,126717180,126717188,126717193,126717195,126717197,126717200,126717201,126717203,126717206,126717207,126717209,126717213,126717224,126717236,126717245,126717247,126717254,126717255,126717263,126717268,126717269,126717299,126717300,126717309,126717335	rs181478293,rs186593486,rs189743360,rs10987426,rs536746419,rs370545855,rs529202223,rs10819199,rs567148262,rs535890950,rs12337414,rs12350919,rs10819200,rs576932245,rs370449161,rs191895045,rs530640980,rs533390246,rs183288955,rs188624921,rs28609330,rs569122097,rs58672891,rs578035208,rs35517566,rs13291248,rs572807827,rs541683464,rs368210226,rs371715279,rs544173172,rs376290537,rs58798877,rs111669937,rs13291545,rs144238176,rs13292438,rs62580166,rs550281992,rs572669199,rs62580167,rs370933133,rs555152974,rs62580168,rs373126117
mh10LV-03		26	chr10	16716548,16716556,16716563,16716564,16716606,16716622,16716628,16716630,16716631,16716633,16716641,16716654,16716672,16716677,16716695,16716699,16716741,16716747,16716748,16716776,16716786,16716796,16716818,16716851,16716852,16716872	16674549,16674557,16674564,16674565,16674607,16674623,16674629,16674631,16674632,16674634,16674642,16674655,16674673,16674678,16674696,16674700,16674742,16674748,16674749,16674777,16674787,16674797,16674819,16674852,16674853,16674873	rs150723478,rs79370786,rs139059159,rs549462391,rs188882774,rs55881942,rs115541352,rs78087910,rs55733532,rs575996790,rs192089984,rs75573951,rs10752059,rs12219128,rs183677658,rs17331187,rs12571438,rs149872751,rs112046996,rs547161232,rs373744354,rs539307419,rs10904788,rs12219154,rs555098693,rs12781286
mh20LV-04		49	chr20	5646530,5646541,5646545,5646549,5646551,5646552,5646556,5646557,5646561,5646585,5646590,5646594,5646599,5646604,5646621,5646624,5646628,5646635,5646639,5646650,5646651,5646652,5646657,5646677,5646679,5646683,5646687,5646693,5646694,5646700,5646703,5646720,5646747,5646754,5646755,5646766,5646771,5646780,5646783,5646784,5646787,5646789,5646801,5646812,5646824,5646841,5646866,5646871,5646879	5665884,5665895,5665899,5665903,5665905,5665906,5665910,5665911,5665915,5665939,5665944,5665948,5665953,5665958,5665975,5665978,5665982,5665989,5665993,5666004,5666005,5666006,5666011,5666031,5666033,5666037,5666041,5666047,5666048,5666054,5666057,5666074,5666101,5666108,5666109,5666120,5666125,5666134,5666137,5666138,5666141,5666143,5666155,5666166,5666178,5666195,5666220,5666225,5666233	rs6038238,rs62205296,rs528885505,rs550338643,rs6053586,rs6053587,rs73596121,rs533741700,rs568257864,rs557106700,rs142296722,rs149732937,rs113848476,rs540869184,rs545511656,rs562310657,rs6053588,rs149135147,rs563424302,rs6053589,rs181527219,rs143313202,rs558478033,rs138853749,rs559337296,rs555969338,rs528057415,rs543931580,rs551503397,rs140581511,rs186651742,rs542536982,rs550791580,rs573236120,rs145820871,rs551826613,rs566893718,rs138378230,rs141768575,rs150690612,rs527884395,rs138414706,rs13044057,rs55780783,rs543634562,rs4813768,rs77752287,rs551919440,rs6516062
mh02LV-05		22	chr2	174285314,174285328,174285344,174285353,174285355,174285361,174285377,174285378,174285395,174285399,174285415,174285445,174285452,174285460,174285480,174285481,174285501,174285510,174285514,174285516,174285564,174285638	173420586,173420600,173420616,173420625,173420627,173420633,173420649,173420650,173420667,173420671,173420687,173420717,173420724,173420732,173420752,173420753,173420773,173420782,173420786,173420788,173420836,173420910	rs4972562,rs565195670,rs55875524,rs7571747,rs186073087,rs529841576,rs60872411,rs56769075,rs111950337,rs7571654,rs143339325,rs113440300,rs558873260,rs10195588,rs10172255,rs368167114,rs138001968,rs13028755,rs143043578,rs545429377,rs138524547,rs560851191
mh03LV-06		16	chr3	11955874,11955886,11955891,11955898,11955906,11955920,11955937,11955944,11955946,11955957,11955958,11955971,11955985,11956000,11956011,11956071	11914400,11914412,11914417,11914424,11914432,11914446,11914463,11914470,11914472,11914483,11914484,11914497,11914511,11914526,11914537,11914597	rs9878130,rs115110074,rs303846,rs303847,rs186777109,rs547189871,rs2600246,rs557719662,rs62247767,rs2618383,rs2618382,rs55955151,rs9878282,rs58820061,rs372657560,rs376075344
mh03LV-07		42	chr3	5825195,5825196,5825205,5825210,5825212,5825218,5825228,5825229,5825230,5825231,5825239,5825249,5825251,5825258,5825264,5825294,5825295,5825298,5825299,5825304,5825305,5825306,5825310,5825313,5825322,5825335,5825339,5825340,5825350,5825351,5825358,5825359,5825360,5825363,5825364,5825365,5825368,5825371,5825374,5825382,5825391,5825392	5783508,5783509,5783518,5783523,5783525,5783531,5783541,5783542,5783543,5783544,5783552,5783562,5783564,5783571,5783577,5783607,5783608,5783611,5783612,5783617,5783618,5783619,5783623,5783626,5783635,5783648,5783652,5783653,5783663,5783664,5783671,5783672,5783673,5783676,5783677,5783678,5783681,5783684,5783687,5783695,5783704,5783705	rs35487831,rs551826168,rs551103072,rs147029778,rs138242646,rs36112205,rs558615254,rs112429373,rs540940124,rs181399861,rs185812101,rs368083082,rs4350906,rs551928264,rs111720119,rs373930868,rs189540812,rs536241427,rs4350907,rs569801541,rs3967027,rs377302835,rs4054499,rs373990226,rs572186439,rs4597697,rs561123737,rs375589830,rs4459888,rs187597945,rs547729890,rs563013731,rs533299841,rs112787132,rs183047086,rs552351215,rs185872980,rs4414837,rs574760178,rs4502569,rs111977600,rs183360215
mh02LV-08		18	chr2	28790521,28790526,28790529,28790540,28790545,28790552,28790556,28790559,28790562,28790563,28790571,28790580,28790606,28790683,28790684,28790687,28790691,28790710	28567654,28567659,28567662,28567673,28567678,28567685,28567689,28567692,28567695,28567696,28567704,28567713,28567739,28567816,28567817,28567820,28567824,28567843	rs190545099,rs544574720,rs12471106,rs529890867,rs144704589,rs1950013,rs185138175,rs113250186,rs570532653,rs111809057,rs554360978,rs543383553,rs12474737,rs529826808,rs137855596,rs13418343,rs13418344,rs34787802
mh06LV-09		14	chr6	33024131,33024136,33024165,33024177,33024188,33024223,33024228,33024234,33024257,33024272,33024298,33024308,33024316,33024323	33056354,33056359,33056388,33056400,33056411,33056446,33056451,33056457,33056480,33056495,33056521,33056531,33056539,33056546	rs412735,rs570318069,rs449635,rs114484337,rs150884041,rs6457707,rs396638,rs6457708,rs12200756,rs435549,rs3130593,rs3130184,rs3130185,rs3130594
mh13LV-10		17	chr13	70865991,70865994,70865995,70866003,70866007,70866051,70866063,70866064,70866065,70866066,70866078,70866097,70866115,70866122,70866131,70866145,70866184	70291859,70291862,70291863,70291871,70291875,70291919,70291931,70291932,70291933,70291934,70291946,70291965,70291983,70291990,70291999,70292013,70292052	rs146597534,rs7322151,rs564438691,rs116941102,rs9572429,rs549039332,rs185357044,rs534584107,rs554762615,rs9542260,rs140084340,rs572712963,rs368821654,rs7321450,rs190605685,rs182258088,rs9564682
