Marker	Location	Extent	Ae
mh01KK-212.v2	chr1:202647419-202647661	243	10.076
mh01WL-005.v1	chr1:212172159-212172327	169	11.555
mh01WL-007	chr1:107376744-107376901	158	7.288
mh01WL-008.v2	chr1:241686046-241686303	258	6.129
mh01WL-010.v2	chr1:168483954-168484190	237	7.69
mh01WL-077.v1	chr1:58680514-58680744	231	5.292
mh01WL-087	chr1:187103458-187103528	71	4.719
mh01WL-110	chr1:17381244-17381303	60	4.324
mh02KK-014.v2	chr2:227659356-227659594	239	12.127
mh02KK-015.v1	chr2:239083077-239083297	221	5.086
mh02KK-134.v3	chr2:160222900-160223003	104	5.206
mh02LW-7	chr2:80854380-80854426	47	6.361
mh02SCUZJ-0148472	chr2:42110302-42110534	233	5.524
mh02SCUZJ-0332125	chr2:109682438-109682696	259	5.015
mh02WL-002.v2	chr2:204497437-204497637	201	7.998
mh03FHL-001.v2	chr3:11583728-11583940	213	7.819
mh03SHY-004	chr3:65259368-65259558	191	5.097
mh03USC-3qC.v2	chr3:196652866-196653122	257	10.74
mh03WL-017.v2	chr3:140116849-140117079	231	5.865
mh03WL-058	chr3:184780970-184781177	208	5.085
mh04FHL-005.v1	chr4:81722744-81722876	133	5.697
mh04SCUZJ-0098303	chr4:17238471-17238717	247	5.241
mh04SHY-001.v3	chr4:113047831-113047903	73	4.063
mh04WL-044	chr4:177376211-177376292	82	4.288
mh04WL-052.v1	chr4:2303789-2304031	243	13.685
mh04WL-082.v2	chr4:65534897-65534987	91	4.267
mh05KK-170.v3	chr5:2447796-2448051	256	11.777
mh05KK-178.v2	chr5:68013936-68014166	231	5.106
mh05USC-5qA	chr5:56469016-56469109	94	3.638
mh05USC-5qC.v2	chr5:133580650-133580717	68	3.802
mh05WL-003.v1	chr5:109298535-109298623	89	3.515
mh05WL-058.v1	chr5:178767491-178767680	190	5.02
mh06SCUZJ-0528857	chr6:73429489-73429655	167	10.552
mh06USC-6pA	chr6:23765103-23765144	42	3.497
mh06WL-005.v1	chr6:14008902-14009060	159	5.368
mh06WL-008.v1	chr6:119186743-119186898	156	5.759
mh06WL-041	chr6:155831739-155831786	48	3.852
mh06WL-051	chr6:1708564-1708803	240	11.648
mh07KK-009.v3	chr7:18821472-18821642	171	9.324
mh07SCUZJ-0197487	chr7:45856602-45856843	242	5.547
mh07SCUZJ-0502291.v1	chr7:149320697-149320921	225	7.47
mh07WL-022.v2	chr7:115873343-115873580	238	8.556
mh07WL-054	chr7:30137419-30137662	244	5.315
mh08SCUZJ-0523897	chr8:141538188-141538267	80	3.851
mh08USC-8pB	chr8:40806675-40806724	50	3.386
mh08WL-031	chr8:95763191-95763280	90	4.412
mh08WL-040	chr8:25607140-25607379	240	5.003
mh08WL-049	chr8:4068282-4068431	150	5.363
mh08WL-068	chr8:75504543-75504626	84	3.388
mh09FHL-002.v2	chr9:18804345-18804420	76	3.66
mh09SHY-001.v1	chr9:28517001-28517173	173	6.227
mh09USC-9qC	chr9:133903715-133903792	78	3.829
mh09WL-020	chr9:93909842-93909941	100	6.871
mh09WL-023.v2	chr9:107669566-107669629	64	4.554
mh09WL-034	chr9:1793334-1793515	182	5.95
mh10SCUZJ-0082020	chr10:14436177-14436353	177	5.024
mh10SHY-002.v1	chr10:98321291-98321429	139	5.014
mh10WL-015	chr10:63087529-63087615	87	3.309
mh10WL-028	chr10:116267682-116267761	80	3.432
mh10WL-031	chr10:3825864-3826101	238	9.692
mh11PK-63643.v1	chr11:34415815-34415851	37	4.016
mh11WL-023	chr11:125720950-125720996	47	4.644
mh11WL-026	chr11:102630434-102630511	78	4.105
mh12KK-201.v2	chr12:27647394-27647570	177	9.58
mh12SCUZJ-0392651	chr12:127034321-127034521	201	6.723
mh12USC-12qA	chr12:40392917-40392950	34	3.528
mh12USC-12qB	chr12:68114496-68114573	78	4.04
mh12WL-005.v2	chr12:78920920-78921103	184	7.294
mh12WL-033	chr12:101045717-101045773	57	3.66
mh13KK-218.v5	chr13:53486585-53486837	253	8.862
mh13KK-221.v1	chr13:101106737-101106989	253	8.327
mh13USC-13qA.v2	chr13:32979370-32979511	142	8.644
mh13USC-13qD	chr13:111435606-111435673	68	4.327
mh14SHY-002.v1	chr14:51914396-51914593	198	5.309
mh14WL-028.v2	chr14:92465674-92465758	85	3.492
mh14WL-034	chr14:67571980-67572062	83	3.741
mh14WL-036.v3	chr14:25608202-25608445	244	9.38
mh15SCUZJ-0082880	chr15:46326870-46327061	192	10.059
mh15WL-001.v1	chr15:71629696-71629869	174	6.284
mh15WL-004.v2	chr15:27683945-27684168	224	5.578
mh16WL-012.v1	chr16:56542533-56542729	197	6.624
mh16WL-030	chr16:6735405-6735658	254	5.226
mh17FHL-005.v3	chr17:78268165-78268413	249	10.032
mh17WL-003	chr17:36134072-36134156	85	5.129
mh17WL-019	chr17:8057797-8057886	90	3.662
mh18USC-18pA	chr18:5280018-5280094	77	3.424
mh18WL-018	chr18:49877219-49877269	51	3.594
mh18WL-032	chr18:74395973-74396031	59	4.026
mh19SHY-001.v4	chr19:7699031-7699097	67	3.731
mh19USC-19qB.v2	chr19:53714365-53714470	106	5.113
mh20USC-20qB	chr20:62516294-62516339	46	3.288
mh20WL-022.v2	chr20:1936563-1936814	252	6.37
mh20WL-023.v3	chr20:16664687-16664779	93	3.933
mh20WL-026.v2	chr20:39864161-39864257	97	3.752
mh21WL-020.v1	chr21:34035306-34035404	99	4.101
mh22USC-22qB.v3	chr22:48665164-48665414	251	5.985
mh22WL-006.v1	chr22:26396487-26396677	191	5.469
