Marker	RSIDs
mh01KK-172	rs1887284,rs3128342,rs3766176
mh01USC-1pA	rs28503881,rs28689700,rs4648788,rs72634811
mh01KK-001	rs4648344,rs58111155,rs6663840,rs6688969
mh01KK-106	rs12123330,rs16840876,rs4468133,rs56212601
mh01KK-070	rs1801131,rs4846051
mh01CP-007	rs74887893,rs80137938,rs861907
mh01CP-008	rs10803282,rs10803283,rs10927447
mh01ZBF-001	rs10927784,rs112146896,rs2496317,rs35489138
mh01NH-01	rs2311483,rs3818042,rs910230
mh01NH-02	rs2076611,rs2076612,rs2235919
mh01KK-205	rs11810587,rs1336130,rs1533622,rs1533623
mh01AT-02	rs1533622,rs1533623
mh01KK-210	rs2165332,rs7536195
mh01SHY-001	rs114430711,rs12028799,rs12127700,rs187560006,rs191548614,rs2637884,rs376215895,rs539748779,rs557990964,rs562871954,rs565437345,rs577190035
mh01USC-1pB	rs1679910,rs1679911,rs3766785
mh01CP-016	rs11206620,rs4927251,rs6684891
mh01CP-012	rs12026749,rs1283256,rs8179472
mh01KK-072	rs1251078,rs1251079
mh01USC-1pC	rs1776320,rs2211434,rs4472717
mh01CP-010	rs6663690,rs6687312,rs77271423
mh01USC-1pD	rs12031966,rs6687440,rs6702428
mh01KK-211	rs16835127,rs2341465,rs2490423
mh01AT-03	rs10918374,rs16835127,rs2341465
mh01USC-1qA	rs870879,rs870880
mh01NH-03	rs338564,rs338565,rs543912
mh01USC-1qB	rs10753020,rs34715816,rs4344286,rs4512600
mh01ZHA-009	rs10920178,rs815738,rs843814
mh01USC-1qC	rs117262471,rs6665072,rs6702229
mh01KKCS-212	rs114630930,rs114711668,rs11589785,rs12121078,rs16850184,rs186753019,rs57658975,rs58023111,rs58060874,rs59815839,rs72750624
mh01KK-117	rs1610400,rs1610401,rs17413714,rs2772234
mh01ZHA-011	rs4844633,rs6540449,rs841863
mh01ZHA-012	rs11119437,rs2494175,rs4844968,rs72649965
mh01KK-002	rs4528199,rs6604596
mh01NKCS-001	rs2296796,rs2296797,rs2296798,rs2479135
mh01NK-001	rs2296796,rs2296797,rs2296798,rs2479135
mh01NH-04	rs2296796,rs2296797,rs2296798
mh01AT-04	rs2296796,rs2296797,rs2296798
mh01KK-135	rs12036383,rs61822416
mh01USC-1qD	rs12141154,rs56274766,rs74148721
mh01ZBF-002	rs3120715,rs562340280
mh02KKCS-022	rs10495515,rs10495516,rs13021132,rs62123466,rs74618846,rs79989676
mh02CP-004	rs4668522,rs4669133,rs55990245
mh02USC-2pA	rs1686418,rs1686419,rs1686420,rs76708321
mh02ZHA-001	rs10190568,rs4668958,rs6717035,rs6745544
mh02LV-08	rs111809057,rs113250186,rs12471106,rs12474737,rs13418343,rs13418344,rs137855596,rs144704589,rs185138175,rs190545099,rs1950013,rs34787802,rs529826808,rs529890867,rs543383553,rs544574720,rs554360978,rs570532653
mh02NH-05	rs2303321,rs2303322,rs2303323,rs2303324
mh02USC-2pB	rs1559479,rs1559480,rs1559481
mh02KK-138	rs2595202,rs2595203,rs4953292,rs59298278,rs6715568,rs6759301
mh02KK-073	rs1374748,rs7583554
mh02USC-2pC	rs10171097,rs369221,rs3816371,rs385742
mh02ZHA-003	rs10199736,rs10199901,rs62141577,rs7423545
mh02KK-105	rs2280355,rs2280356
mh02KK-131	rs1466020,rs17488897
mh02ZBF-001	rs28382976,rs28382977,rs28745279
mh02KK-213	rs1519654,rs7568519,rs7577785
mh02USC-2qA	rs1468788,rs1468789,rs35181686,rs6543144
mh02KKCS-013	rs114422847,rs147490454,rs1978820,rs1978821,rs34544149,rs35414072,rs7584136
mh02KK-202	rs12464185,rs13422174
mh02KK-139	rs12623957,rs3827760
