Marker	Chrom	Location	Extent	Ae
mh01WL-013	chr1	chr1:7502230-7502428	199	3.865
mh01WL-110	chr1	chr1:17381244-17381303	60	4.324
mh01WL-116	chr1	chr1:38271202-38271364	163	4.736
mh01WL-077.v1	chr1	chr1:58680514-58680744	231	5.292
mh01WL-083	chr1	chr1:87570165-87570373	209	4.127
mh01WL-007	chr1	chr1:107376744-107376901	158	7.288
mh01WL-010.v2	chr1	chr1:168483954-168484190	237	7.69
mh01WL-087	chr1	chr1:187103458-187103528	71	4.719
mh01KK-212.v2	chr1	chr1:202647419-202647661	243	10.076
mh01WL-005.v1	chr1	chr1:212172159-212172327	169	11.555
mh01WL-008.v2	chr1	chr1:241686046-241686303	258	6.129
mh02WL-083	chr2	chr2:16111703-16111897	195	4.969
mh02WL-005	chr2	chr2:30759860-30760018	159	4.172
mh02SCUZJ-0148472	chr2	chr2:42110302-42110534	233	5.524
mh02WL-092	chr2	chr2:53717105-53717290	186	3.884
mh02LW-7	chr2	chr2:80854380-80854426	47	6.361
mh02SCUZJ-0332125	chr2	chr2:109682438-109682696	259	5.015
mh02WL-011	chr2	chr2:126686016-126686195	180	4.63
mh02SHY-003.v1	chr2	chr2:143825807-143826001	195	4.166
mh02KK-134.v3	chr2	chr2:160222900-160223003	104	5.206
mh02WL-098	chr2	chr2:175687379-175687570	192	3.668
mh02WL-002.v2	chr2	chr2:204497437-204497637	201	7.998
mh02KK-014.v2	chr2	chr2:227659356-227659594	239	12.127
mh02KK-015.v1	chr2	chr2:239083077-239083297	221	5.086
mh03FHL-001.v2	chr3	chr3:11583728-11583940	213	7.819
mh03SHY-002	chr3	chr3:21598098-21598239	142	4.225
mh03WL-010	chr3	chr3:32366963-32367004	42	3.534
mh03SHY-004	chr3	chr3:65259368-65259558	191	5.097
mh03WL-012	chr3	chr3:82398461-82398631	171	3.763
mh03KK-018.v2	chr3	chr3:117437393-117437616	224	4.196
mh03WL-021.v1	chr3	chr3:127140616-127140783	168	4.953
mh03WL-017.v2	chr3	chr3:140116849-140117079	231	5.865
mh03WL-003	chr3	chr3:175134890-175135071	182	4.453
mh03WL-058	chr3	chr3:184780970-184781177	208	5.085
mh03USC-3qC.v2	chr3	chr3:196652866-196653122	257	10.74
mh04WL-052.v1	chr4	chr4:2303789-2304031	243	13.685
mh04SCUZJ-0098303	chr4	chr4:17238471-17238717	247	5.241
mh04WL-031.v3	chr4	chr4:32590949-32591200	252	4.585
mh04WL-072	chr4	chr4:43194522-43194754	233	3.627
mh04WL-082.v2	chr4	chr4:65534897-65534987	91	4.267
mh04FHL-005.v1	chr4	chr4:81722744-81722876	133	5.697
mh04SHY-001.v3	chr4	chr4:113047831-113047903	73	4.063
mh04WL-028.v1	chr4	chr4:130180202-130180313	112	4.916
mh04WL-044	chr4	chr4:177376211-177376292	82	4.288
mh04SHY-004	chr4	chr4:187058400-187058564	165	3.941
mh05KK-170.v3	chr5	chr5:2447796-2448051	256	11.777
mh05WL-006.v1	chr5	chr5:17196895-17197069	175	3.843
mh05WL-067.v1	chr5	chr5:31095136-31095306	171	4.563
mh05USC-5qA	chr5	chr5:56469016-56469109	94	3.638
mh05KK-178.v2	chr5	chr5:68013936-68014166	231	5.106
mh05WL-049	chr5	chr5:84868720-84868970	251	4.379
mh05WL-003.v1	chr5	chr5:109298535-109298623	89	3.515
mh05USC-5qC.v2	chr5	chr5:133580650-133580717	68	3.802
mh05WL-009	chr5	chr5:169185244-169185437	194	4.304
mh05WL-058.v1	chr5	chr5:178767491-178767680	190	5.02
mh06WL-051	chr6	chr6:1708564-1708803	240	11.648
mh06WL-005.v1	chr6	chr6:14008902-14009060	159	5.368
mh06USC-6pA	chr6	chr6:23765103-23765144	42	3.497
mh06SHY-004	chr6	chr6:36822807-36822913	107	4.118
mh06SCUZJ-0528857	chr6	chr6:73429489-73429655	167	10.552
mh06WL-071.v1	chr6	chr6:105804884-105805070	187	3.901
mh06WL-008.v1	chr6	chr6:119186743-119186898	156	5.759
mh06WL-056	chr6	chr6:137551947-137552184	238	4.838
mh06WL-041	chr6	chr6:155831739-155831786	48	3.852
mh06KK-008.v1	chr6	chr6:169255934-169256153	220	4.878
mh07WL-088	chr7	chr7:4960457-4960583	127	3.951
