Marker	Extent	Ae	FailMode	MaxAltFreq	LowComplexRepeats	Repeats	STRs
mh01CP-008	17	2.469	[repeat]			SINE>Alu>AluY[chr1:14503201-14503492]	
mh01FHL-009.v1	163	4.364	[str]				D1S1656
mh01FHL-009.v2	64	4.317	[str]				D1S1656
mh01FHL-009.v3	265	7.007	[length][str]				D1S1656
mh01FHL-009.v4	265	7.066	[length][str]				D1S1656
mh01HYP-02	28	2.331	[str]				D1S1656
mh01KK-001.v3	283	3.722	[length]				
mh01KK-001.v4	283	3.722	[length]				
mh01KK-135	289	2.129	[length][str]				D1S1656
mh01KK-172.v2	226	3.481	[indel]	0.4914			
mh01KK-172.v3	226	3.481	[indel]	0.4914			
mh01KK-211.v4	267	3.794	[length]				
mh01KK-212.v6	270	9.079	[length]				
mh01KK-213.v1	216	5.213	[repeat][str]			LTR>ERV1>LTR36[chr1:232675731-232676254]	D1S1656
mh01KK-213.v2	216	5.213	[repeat][str]			LTR>ERV1>LTR36[chr1:232675731-232676254]	D1S1656
mh01KK-213.v3	288	3.582	[length][repeat][str]			LTR>ERV1>LTR36[chr1:232675731-232676254]	D1S1656
mh01LS-1qE	171	2.518	[str]				D1S1656
mh01LS-1qF	142	1.842	[str]				D1S1656
mh01LW-3	58	1.0	[repeat]			SINE>Alu>AluJo[chr1:31435-31733]	
mh01NH-02	89	2.186	[repeat]			LINE>L1>L1ME5[chr1:17095162-17095559]	
mh01NH-04.v1	53	3.06	[str]				D1S1656
mh01NH-04.v2	280	3.298	[length][str]				D1S1656
mh01NH-04.v3	280	3.298	[length][str]				D1S1656
mh01SCUZJ-0000740	345	7.362	[length][repeat]			SINE>Alu>AluY[chr1:928111-928412]	
mh01SCUZJ-0005171.v1	310	1.0	[length]				
mh01SCUZJ-0010491	253	4.414	[indel]	0.1527			
mh01SCUZJ-0016447	307	5.124	[length][repeat]			LINE>L1>L1MC1[chr1:3949952-3950129];LTR>ERVL-MaLR>THE1B[chr1:3950129-3950440]	
mh01SCUZJ-0041531	270	9.142	[length][repeat]			SINE>Alu>AluY[chr1:10175370-10175650];SINE>Alu>AluY[chr1:10175677-10175700]	
mh01SCUZJ-0062205	334	3.922	[indel][length][repeat]	0.4388		SINE>Alu>AluSz[chr1:14721871-14722179]	
mh01SCUZJ-0076454	327	5.628	[length]				
mh01SCUZJ-0081962	278	4.731	[length][repeat]			SINE>Alu>AluY[chr1:19320410-19320714];SINE>Alu>AluSx1[chr1:19320718-19321012]	
mh01SCUZJ-0082140	273	6.196	[indel][length]	0.135			
mh01SCUZJ-0156524	292	3.374	[length][repeat]			LINE>L2>L2c[chr1:47816297-47816759]	
mh01SCUZJ-0165190	305	11.9	[length][repeat]			LTR>ERVK>LTR5A[chr1:53168236-53169249]	
mh01SCUZJ-0212470	343	2.979	[length][repeat]			LTR>ERV1>HERVH-int[chr1:68386439-68389684]	
mh01SCUZJ-0237331	314	3.61	[length][repeat]			LTR>ERV1>LTR12C[chr1:79560559-79562081]	
mh01SCUZJ-0258509	336	3.192	[length]				
