Name	PermID	Reference	Chrom	Offsets	Ae	In	Fst	Source
mh01KK-172	MHDBM-d5a744a2	GRCh38	chr1	1551453,1551522,1551678	2.9310	0.2160	-0.0441	ALFRED
mh01USC-1pA	MHDBM-b44cecf4	GRCh38	chr1	1594569,1594598,1594613,1594617	3.8005	0.2029	0.0036	10.1016/j.fsigen.2019.102213
mh01KK-001	MHDBM-a9f4dcdb	GRCh38	chr1	3826567,3826754,3826785,3826826	3.1421	0.2860	0.0713	ALFRED
mh01KK-106	MHDBM-af04b293	GRCh38	chr1	4167403,4167500,4167563,4167573	2.6379	0.1962	0.1783	ALFRED
mh01KK-070	MHDBM-880ee42f	GRCh38	chr1	11794399,11794418	1.9122	0.1409	0.1178	ALFRED
mh01CP-007	MHDBM-e3b668ed	GRCh38	chr1	12788891,12788904,12788907	2.6569	0.0412	-0.0101	ALFRED
mh01CP-008	MHDBM-654c8337	GRCh38	chr1	14503432,14503434,14503448	2.4674	0.1220	0.0538	ALFRED
mh01NH-01	MHDBM-b23c6598	GRCh38	chr1	17072257,17072295,17072353	2.3626	0.0757	-0.0053	10.1016/j.legalmed.2015.06.003
mh01NH-02	MHDBM-f3e32a4c	GRCh38	chr1	17095427,17095460,17095515	2.1842	0.0997	0.0572	10.1016/j.legalmed.2015.06.003
mh01KK-205	MHDBM-1f7eaca2	GRCh38	chr1	18396197,18396218,18396306,18396351	4.0654	0.0717	-0.0068	ALFRED
mh01AT-02	MHDBM-6ba6d44e	GRCh38	chr1	18396306,18396351	2.5324	0.0338	0.0319	ISFG2019:P597
mh01KK-210	MHDBM-f9d95c20	GRCh38	chr1	22815857,22816002	2.2022	0.1530	0.1178	ALFRED
mh01USC-1pB	MHDBM-6f2b4d60	GRCh38	chr1	53116633,53116648,53116652	3.0632	0.1431	-0.0154	10.1016/j.fsigen.2019.102213
mh01CP-016	MHDBM-021e569a	GRCh38	chr1	55559012,55559050,55559056	2.8584	0.0813	0.0919	ALFRED
mh01CP-012	MHDBM-d80c4757	GRCh38	chr1	60999611,60999616,60999641	2.7927	0.1755	-0.0408	ALFRED
mh01KK-072	MHDBM-b4474a01	GRCh38	chr1	75723759,75723802	1.7557	0.0251	0.0089	ALFRED
mh01USC-1pC	MHDBM-78b9c617	GRCh38	chr1	80236360,80236417,80236441	2.9642	0.1752	0.0435	10.1016/j.fsigen.2019.102213
mh01CP-010	MHDBM-0f0a7cd6	GRCh38	chr1	85240117,85240130,85240139	2.6721	0.0736	0.0981	10.1016/j.fsigen.2019.02.018
mh01USC-1pD	MHDBM-8098d345	GRCh38	chr1	106227453,106227475,106227487	3.1574	0.3706	0.2831	10.1016/j.fsigen.2019.102213
mh01KK-211	MHDBM-6adc547b	GRCh38	chr1	161985865,161985967,161986013	2.2742	0.1706	0.1164	ALFRED
mh01AT-03	MHDBM-be82bac2	GRCh38	chr1	161985967,161985984,161986013	2.7654	0.1143	0.0071	ISFG2019:P597
mh01USC-1qA	MHDBM-f218f0ad	GRCh38	chr1	167157730,167157749	2.5003	0.0976	0.0695	10.1016/j.fsigen.2019.102213
mh01NH-03	MHDBM-e7a95c5e	GRCh38	chr1	184807944,184807966,184808042	1.9086	0.1987	0.1725	10.1016/j.legalmed.2015.06.003
mh01USC-1qB	MHDBM-e1cd790f	GRCh38	chr1	187653277,187653299,187653303,187653347	3.3505	0.1589	0.1579	10.1016/j.fsigen.2019.102213
mh01USC-1qC	MHDBM-532fb9eb	GRCh38	chr1	201985639,201985672,201985678	3.8355	0.0957	0.0152	10.1016/j.fsigen.2019.102213
mh01KK-117	MHDBM-39dc025f	GRCh38	chr1	204664211,204664268,204664371,204664397	4.4565	0.1933	0.0472	ALFRED
mh01KK-002	MHDBM-06c845ac	GRCh38	chr1	216461085,216461102	2.6696	0.2672	0.2541	ALFRED
mh01NK-001	MHDBM-47c3e27c	GRCh38	chr1	230684604,230684831,230684858,230684883	3.2924	0.1511	0.0904	ALFRED
mh01NH-04	MHDBM-0f7da26c	GRCh38	chr1	230684831,230684858,230684883	3.0552	0.1005	0.0807	10.1016/j.legalmed.2015.06.003
mh01AT-04	MHDBM-0f7da26c	GRCh38	chr1	230684831,230684858,230684883	3.0552	0.1005	0.0807	ISFG2019:P597
mh01KK-135	MHDBM-70300fc8	GRCh38	chr1	234206032,234206320	2.1269	0.2448	0.2169	ALFRED
mh01USC-1qD	MHDBM-20d6c206	GRCh38	chr1	235603659,235603670,235603675	2.9790	0.1907	-0.0700	10.1016/j.fsigen.2019.102213
mh02CP-004	MHDBM-93f8bfc4	GRCh38	chr2	7112049,7112052,7112077	3.0870	0.0845	0.0768	ALFRED
mh02USC-2pA	MHDBM-1734fe04	GRCh38	chr2	10810991,10811035,10811042,10811069	2.7695	0.3702	0.2143	10.1016/j.fsigen.2019.102213
mh02LV-08	MHDBM-7b891c73	GRCh38	chr2	28567654,28567659,28567662,28567673,28567678,28567685,28567689,28567692,28567695,28567696,28567704,28567713,28567739,28567816,28567817,28567820,28567824,28567843	13.9066	0.6344	0.0375	10.1016/j.fsigen.2018.05.001
mh02NH-05	MHDBM-400c355b	GRCh38	chr2	30966369,30966437,30966478,30966534	1.4395	0.0245	0.0446	10.1016/j.legalmed.2015.06.003
mh02USC-2pB	MHDBM-92018504	GRCh38	chr2	45236329,45236347,45236397	3.2887	0.1080	0.0457	10.1016/j.fsigen.2019.102213
mh02KK-138	MHDBM-bc9ea531	GRCh38	chr2	45964843,45964877,45964938,45964952,45965051,45965091	3.2796	0.2654	0.1259	ALFRED
mh02KK-073	MHDBM-2885ae1f	GRCh38	chr2	46359894,46359957	2.4468	0.0816	0.0778	ALFRED
mh02USC-2pC	MHDBM-fbf0d379	GRCh38	chr2	79025823,79025835,79025901,79025902	3.9436	0.0620	0.0087	10.1016/j.fsigen.2019.102213
mh02KK-105	MHDBM-f60628c8	GRCh38	chr2	96700565,96700586	2.0209	0.2043	0.1077	ALFRED
mh02KK-131	MHDBM-abe94175	GRCh38	chr2	97748700,97748786	1.9450	0.2660	0.2926	ALFRED
mh02KK-213	MHDBM-3697ccfe	GRCh38	chr2	100480397,100480409,100480497	2.5914	0.1416	0.0003	ALFRED
mh02USC-2qA	MHDBM-6443f01d	GRCh38	chr2	102476043,102476053,102476115,102476124	3.2848	0.1309	0.1133	10.1016/j.fsigen.2019.102213
mh02KK-202	MHDBM-e29a3977	GRCh38	chr2	107031716,107031855	2.0468	0.0589	-0.0211	ALFRED
mh02KK-139	MHDBM-b19d2e01	GRCh38	chr2	108897144,108897197	1.6760	0.4396	0.4234	ALFRED
mh02KK-102	MHDBM-4a6b420c	GRCh38	chr2	108897599,108897648,108897735	1.7957	0.1496	0.3257	ALFRED
mh02KK-003	MHDBM-13b749ff	GRCh38	chr2	108969856,108969914,108969980	2.1057	0.3022	0.3298	ALFRED
mh02KK-004	MHDBM-652d62eb	GRCh38	chr2	118985034,118985127,118985288	2.5745	0.2279	0.1265	ALFRED
mh02KK-215	MHDBM-501ac44d	GRCh38	chr2	136060045,136060087	2.3953	0.1253	0.0847	ALFRED
mh02USC-2qB	MHDBM-4c590dd3	GRCh38	chr2	137845753,137845766,137845786	2.8613	0.1272	0.0430	10.1016/j.fsigen.2019.102213
mh02KK-201	MHDBM-39f1774b	GRCh38	chr2	144995598,144995712	2.2920	0.2064	0.2990	ALFRED
mh02KK-005	MHDBM-92520b40	GRCh38	chr2	149097582,149097738	2.4739	0.0818	-0.0857	ALFRED
mh02KK-134	MHDBM-daea3d38	GRCh38	chr2	160222899,160222923,160222938,160223002	5.2060	0.2759	0.1603	ALFRED
mh02AT-05	MHDBM-c3feaba8	GRCh38	chr2	160222899,160222923,160222938	4.5544	0.2000	0.1520	ISFG2019:P597
