Marker	Extent	Ae	Repeats
mh01CP-008	17	2.469	SINE>Alu>AluY[chr1:14503201-14503492]
mh01KK-213.v1	216	5.213	LTR>ERV1>LTR36[chr1:232675731-232676254]
mh01KK-213.v2	216	5.213	LTR>ERV1>LTR36[chr1:232675731-232676254]
mh01KK-213.v3	288	3.582	LTR>ERV1>LTR36[chr1:232675731-232676254]
mh01LW-3	58	1.0	SINE>Alu>AluJo[chr1:31435-31733]
mh01NH-02	89	2.186	LINE>L1>L1ME5[chr1:17095162-17095559]
mh01SCUZJ-0000740	345	7.362	SINE>Alu>AluY[chr1:928111-928412]
mh01SCUZJ-0016447	307	5.124	LINE>L1>L1MC1[chr1:3949952-3950129];LTR>ERVL-MaLR>THE1B[chr1:3950129-3950440]
mh01SCUZJ-0041531	270	9.142	SINE>Alu>AluY[chr1:10175370-10175650];SINE>Alu>AluY[chr1:10175677-10175700]
mh01SCUZJ-0062205	334	3.922	SINE>Alu>AluSz[chr1:14721871-14722179]
mh01SCUZJ-0081962	278	4.731	SINE>Alu>AluY[chr1:19320410-19320714];SINE>Alu>AluSx1[chr1:19320718-19321012]
mh01SCUZJ-0156524	292	3.374	LINE>L2>L2c[chr1:47816297-47816759]
mh01SCUZJ-0165190	305	11.9	LTR>ERVK>LTR5A[chr1:53168236-53169249]
mh01SCUZJ-0212470	343	2.979	LTR>ERV1>HERVH-int[chr1:68386439-68389684]
mh01SCUZJ-0237331	314	3.61	LTR>ERV1>LTR12C[chr1:79560559-79562081]
mh01SCUZJ-0260152	339	6.57	SINE>Alu>AluSz[chr1:85574765-85574880];SINE>Alu>AluJb[chr1:85574958-85575233]
mh01SCUZJ-0270838	314	2.606	LINE>L1>L1PA3[chr1:89388575-89390163]
mh01SCUZJ-0312202	174	3.614	SINE>Alu>AluY[chr1:104521948-104522254]
mh01SCUZJ-0379058	291	6.129	SINE>Alu>AluSp[chr1:157096638-157096948]
mh01SCUZJ-0396461	197	1.771	LTR>ERV1>MER57F[chr1:161595661-161596126]
mh01SCUZJ-0398141	211	5.042	SINE>Alu>AluJr[chr1:162005609-162005928]
mh01SCUZJ-0458139	285	5.665	LTR>ERV1>HERVH-int[chr1:183613648-183617077]
mh01SCUZJ-0483367	290	3.59	LINE>L1>L1MC4a[chr1:191066869-191067060]
mh01SCUZJ-0568347	328	5.692	LINE>L2>L2a[chr1:220800518-220801515]
mh01SCUZJ-0582920	350	3.128	LINE>L1>L1PA4[chr1:225168188-225174275]
mh01SCUZJ-0604411	337	1.837	SINE>Alu>AluJo[chr1:231390853-231391092];SINE>Alu>AluJo[chr1:231391134-231391249]
mh01SCUZJ-0617755	345	3.191	LINE>L2>L2a[chr1:234367205-234367372]
mh01SCUZJ-0633517	304	10.737	SINE>Alu>AluSc[chr1:237848118-237848450];LTR>ERVL>MER21B[chr1:237848450-237848964]
mh01SCUZJ-0638849	94	4.259	SINE>Alu>AluY[chr1:238759140-238759457]
mh01SCUZJ-0662222	329	10.928	SINE>Alu>AluY[chr1:244348440-244348742]
mh01SCUZJ-0667867	181	7.887	SINE>Alu>AluY[chr1:245793028-245793326]
mh01SCUZJ-0675568	248	33.701	SINE>Alu>AluY[chr1:246868839-246869142]
mh01SHY-001	193	4.609	LINE>L2>L2a[chr1:38265209-38266499]
mh01ZBF-001	68	2.874	SINE>Alu>AluY[chr1:15418299-15418604]
mh02KK-031.v1	181	4.331	SINE>Alu>AluY[chr2:122637955-122638259]
mh02KK-031.v2	252	4.447	SINE>Alu>AluY[chr2:122637955-122638259]
mh02KK-202	140	2.048	LINE>L2>L2a[chr2:107031654-107031893]
mh02LV-05.v1	325	21.841	LTR>ERVL-MaLR>THE1B[chr2:173420552-173420913]
mh02LV-05.v2	158	12.036	LTR>ERVL-MaLR>THE1B[chr2:173420552-173420913]
mh02LV-08.v1	190	14.695	SINE>Alu>AluSc5[chr2:28567460-28567752]
mh02LV-08.v2	322	13.401	SINE>Alu>AluSc5[chr2:28567460-28567752]
mh02LW-9	56	3.379	SINE>Alu>AluSx1[chr2:190278211-190278503]
mh02SCUZJ-0044444	346	2.629	LINE>L1>L1ME3Cz[chr2:10291708-10291725]
mh02SCUZJ-0082461	320	13.977	LTR>ERVK>LTR5A[chr2:20501251-20502198]
